,tpEurope_cluster1,tpEurope_cluster2,tpEurope_cluster3,tpEurope_cluster4,tpEurope_cluster5
1996-10-28,8.683506673572005e-05,-0.00010383794774867686,-0.00012560787209534344,-3.793349589236488e-05,0.0005624235020067657
1996-10-29,0.0001702632882345043,-0.00015973223710857807,-8.273190217975143e-05,-1.4944458383568783e-05,-0.00020146786853617773
1996-10-30,6.497518302988372e-05,-0.0001801975302763438,1.097337749213907e-05,3.257578516311785e-06,8.104607158678439e-05
1996-10-31,2.5066282542557815e-05,-0.00016913309977878684,-0.0001450044149128444,1.525779576403024e-05,0.00018877591351177308
1996-11-01,8.241749899828276e-05,-0.00019313655607741936,-0.000157731281890272,-1.7998557009976605e-05,0.00011574049450025021
1996-11-02,3.7309745748333028e-06,-0.0001898058644483723,-0.00016491746052500625,-2.1753140625635987e-05,6.265901904583866e-05
1996-11-03,-1.3645049296504137e-05,-0.0001604528751295059,-0.0001725272218433265,-1.6032183787391483e-05,0.00028946205188528154
1996-11-04,7.647904365474671e-05,2.4943103342266705e-05,-0.0001705061054523494,-4.505265360104335e-06,0.0002488751750789363
1996-11-05,7.036523846775808e-05,-0.00010068564546559631,-0.0001503257882355525,-3.080151732189842e-05,0.00026884914132382584
1996-11-06,0.0001188420500620695,-0.0001454942587789754,-0.000138392406183449,-6.8938944383820175e-06,0.00014745526503715182
1996-11-07,0.00010730391433921237,-0.00010480957511451293,-0.0001621104567762482,-6.239194657264719e-06,-7.403628117747432e-05
1996-11-08,-2.5808012392599223e-05,-0.0001773847315914236,-0.00013586039098811286,-3.1298036882557585e-06,-1.8942640037106775e-05
1996-11-09,-1.8173973961674122e-05,-0.00013164186608612607,-0.00017217156953219697,-2.240806318005991e-05,-0.00016904244121057678
1996-11-10,5.813844113177837e-06,0.00015485940670340127,-0.00015526624138325595,-3.850582297979456e-05,-2.5473344528404204e-05
1996-11-11,1.863611215314826e-05,0.000995870478015225,-0.00012429020412406787,-4.026607466135055e-05,-0.0001181084596675314
1996-11-12,7.435020115913069e-05,0.0006798165577216002,-0.0001406417230124814,-9.56952205768515e-07,-0.00024450091815654963
1996-11-13,9.81013476997888e-05,0.00022706862884007084,-0.00014606387499054645,7.637068437313706e-06,-0.00018984131912033522
1996-11-14,-1.652905623833874e-05,4.7865927547800804e-05,-6.12190482452481e-05,7.18375436542247e-06,-0.00022369523375339212
1996-11-15,-7.835482590848651e-05,-0.00010501948179883506,-9.681244360804423e-05,-1.8826052617298352e-05,-0.00020900915392329977
1996-11-16,-6.438945102774884e-05,-1.8557360337655343e-05,-8.001536317064139e-05,-8.903659267514884e-06,-5.6692076172765644e-05
1996-11-17,3.4486972659321e-05,7.214504674018314e-06,0.0002102734747944195,-2.5139941980147592e-05,-8.482549272363494e-05
1996-11-18,5.645037158179032e-05,4.9419422059380144e-05,0.00035015803182738225,-3.2162427123161134e-05,0.00024559169521896424
1996-11-19,0.00015707430188075528,0.00024469104655869484,0.00017036459130099845,-4.077274270993635e-05,0.00019849487532739776
1996-11-20,5.308393434481979e-05,1.2407729034683123e-05,0.0002718723861797096,-1.0522221981726281e-05,-0.00016093414311123532
1996-11-21,0.00011724822545766481,5.151610735351663e-05,3.3054265782176045e-05,-2.5909888164313605e-05,-6.127562445377573e-05
1996-11-22,3.0208210833289056e-05,-1.390533663022711e-05,0.0001788794395680322,1.6184099248388133e-05,-6.493552969998047e-05
1996-11-23,-2.471054595687851e-05,-7.510957659117251e-05,3.8905513243213806e-05,-8.04689204787211e-06,-0.00013009436195184117
1996-11-24,-4.102399442520361e-06,-2.098104176564586e-05,0.00016705221949192686,-2.7981194950933992e-05,0.0006590866921608672
1996-11-25,6.001785356594183e-05,4.381388368382704e-05,-5.468829098053037e-05,2.2683979327613216e-05,-0.00016173608841859224
1996-11-26,1.905493454079126e-06,-7.881330717663811e-05,0.0004898234309960121,-1.3904943517114503e-05,-7.212790347076484e-05
1996-11-27,-7.171801324506359e-06,-3.5371108803157385e-05,7.009233169847509e-05,-8.366599003410501e-06,-0.00012087186072246588
1996-11-28,6.248886299362617e-05,-0.00013826757187089205,0.00018397981436362465,-2.7808473189654285e-05,0.0004269432695373703
