,mslWorld_cluster1,mslWorld_cluster2,mslWorld_cluster3,mslWorld_cluster4,mslWorld_cluster5
2006-10-31,-48.11273992288872,-543.6703342718151,1334.2130012902178,-413.5388776407705,41.71044202220525
2006-11-01,-100.86669684951953,-215.76968901890396,1391.724900296664,76.97745680424639,35.69632412718067
2006-11-02,185.68987020588852,-223.7251267497514,1194.7834100321697,153.96605880294607,53.305852379064966
2006-11-03,517.8967720783022,-304.357379349594,494.67696208893074,-63.765748894260774,70.07472292180745
2006-11-04,662.7022708035294,-337.34931374459615,-189.24176565139925,-659.8314202689145,65.20056246239032
2006-11-05,527.685498013836,-148.3225672851881,-654.6936746153805,-1476.2048202766969,71.42251431679036
2006-11-06,272.8148687613572,94.19162801522894,-424.69535516118026,-1733.8160217272623,55.5285423275154
2006-11-07,119.18744165182193,90.23254720236245,-494.74933931371936,-1487.7971920561665,44.340556356038455
2006-11-08,18.84408065640307,70.88296452906056,-1101.2652270148299,-709.0766073512716,39.588474345612404
2006-11-09,-45.062604474888204,233.27070302411556,-1661.1043970784226,457.14146126895093,27.089729108326882
2006-11-10,42.43751234402628,423.0863647051878,-1433.1988917611875,933.7069859121119,26.76870233971032
2006-11-11,56.61906660868239,291.43306900498044,-1326.941025153084,691.8146786486233,5.631102969115044
2006-11-12,228.40173937777368,88.09034664935527,-1498.4971710428413,290.4433677088179,12.756018202573522
2006-11-13,468.66938936041544,-10.931542240457274,-580.1278418669401,461.71130110515674,-23.454682772699805
2006-11-14,572.9383250030379,-372.0868797204236,717.1185393330426,939.2074103712528,-50.692597278286776
2006-11-15,594.4324416998473,-670.845175175357,1125.6352174487638,1162.140654871898,-47.57544427229455
2006-11-16,517.6813687234367,-734.7009555248957,922.0154334904948,683.4036171657496,-35.479041846112764
2006-11-17,590.1336511009239,-939.316142026287,763.8805740108154,-187.36632979118335,-12.764873418633128
2006-11-18,649.4209717027991,-942.8426119371769,546.2391233026314,-892.1214626090439,20.113357925729552
2006-11-19,497.61488831224574,-954.3346202137022,317.4165272373712,-415.9459441403015,3.0407570827773243
2006-11-20,429.9872153378101,-745.6820314381113,727.0143273247369,-163.60345877825281,-30.995732634016218
2006-11-21,569.4421861466282,-564.1433715440965,785.3063440254026,245.97591998792083,-32.32078080279594
2006-11-22,866.3664064025586,-370.63129580466233,326.9469789985276,320.4874660818341,-25.960416565232666
2006-11-23,1110.4451666233806,-119.97660323979278,104.05207093996711,127.41370099935244,-29.497930152821695
2006-11-24,1054.5264543010678,213.50949057588122,-79.70385292497488,82.57989286647309,-20.467799692918806
2006-11-25,830.1451326677469,259.0044946582436,-316.7004026860821,-39.73702895197888,-3.4923105105203223
2006-11-26,389.46936096834725,29.121558461768057,-368.9865241906173,-126.97268212318653,30.348714675578446
2006-11-27,-224.57181809032338,-38.18536403140308,-79.48757448497041,85.7240785807908,44.78545211196231
2006-11-28,-326.2518416436766,92.18101639255082,127.62049439066696,235.059593855751,40.850009269206815
2006-11-29,-271.0715260588936,310.9484713165131,122.37903209408547,399.57597501855514,21.555046541155562
2006-11-30,-337.9491602669649,258.52297030534623,-82.75024039296436,260.9887633831374,23.879320484675446
2006-12-01,-343.5128227710973,62.117470849624446,-359.84600444121577,-256.4878075146387,57.635526994031494
2006-12-02,-246.52709104162415,-31.926407461639005,-702.9437104566562,-1072.841900333289,93.25600263327391
2006-12-03,-114.29032999508453,183.35209717292244,-794.4393263192579,-886.1199157187506,57.335896202508195
2006-12-04,-252.27388527965226,328.1948108931083,-567.8463034582977,-765.3623441407761,20.22040991793552
2006-12-05,-151.2420045091426,256.92996085785114,-356.8246202760585,-866.0517863397524,11.416428815754093
