,cluster,nodes_lat,nodes_lon
517,2,65.0,18.5
518,2,65.0,19.0
519,2,65.0,19.5
520,2,65.0,20.0
521,2,65.0,20.5
522,2,65.0,21.0
523,2,65.0,21.5
524,2,65.0,24.5
525,2,65.0,25.0
526,2,65.0,25.5
527,2,65.0,26.0
528,2,65.0,26.5
529,2,65.0,27.0
530,2,65.0,27.5
531,2,65.0,28.0
532,2,65.0,28.5
533,2,65.0,29.0
534,2,65.0,29.5
535,2,65.0,30.0
536,2,65.0,30.5
537,2,65.0,31.0
538,2,65.0,31.5
539,2,65.0,32.0
540,2,65.0,32.5
541,2,65.0,33.0
542,2,65.0,33.5
543,2,65.0,34.0
544,2,65.0,34.5
545,2,65.0,36.5
546,2,65.0,37.0
547,2,65.0,37.5
548,2,65.0,38.0
549,2,65.0,40.5
550,2,65.0,41.0
551,2,65.0,41.5
552,2,65.0,42.0
553,2,65.0,42.5
554,2,65.0,43.0
555,2,65.0,43.5
556,2,65.0,44.0
557,2,64.5,-16.0
558,2,64.5,-15.5
559,2,64.5,-15.0
560,2,64.5,-14.5
561,2,64.5,11.0
562,2,64.5,11.5
563,2,64.5,12.0
564,2,64.5,12.5
565,2,64.5,13.0
566,2,64.5,13.5
567,2,64.5,14.0
568,2,64.5,14.5
569,2,64.5,15.0
570,2,64.5,15.5
571,2,64.5,16.0
572,2,64.5,16.5
573,2,64.5,17.0
574,2,64.5,17.5
575,2,64.5,18.0
576,2,64.5,18.5
577,2,64.5,19.0
578,2,64.5,19.5
579,2,64.5,20.0
580,2,64.5,20.5
581,2,64.5,21.0
582,2,64.5,21.5
583,2,64.5,24.0
584,2,64.5,24.5
585,2,64.5,25.0
586,2,64.5,25.5
587,2,64.5,26.0
588,2,64.5,26.5
589,2,64.5,27.0
590,2,64.5,27.5
591,2,64.5,28.0
592,2,64.5,28.5
593,2,64.5,29.0
594,2,64.5,29.5
595,2,64.5,30.0
596,2,64.5,30.5
597,2,64.5,31.0
598,2,64.5,31.5
599,2,64.5,32.0
600,2,64.5,32.5
601,2,64.5,33.0
602,2,64.5,33.5
603,2,64.5,34.0
604,2,64.5,34.5
605,2,64.5,37.0
606,2,64.5,37.5
607,2,64.5,38.0
608,2,64.5,38.5
609,2,64.5,39.0
610,2,64.5,39.5
611,2,64.5,40.0
612,2,64.5,40.5
613,2,64.5,41.0
614,2,64.5,41.5
615,2,64.5,42.0
616,2,64.5,42.5
617,2,64.5,43.0
618,2,64.5,43.5
619,2,64.5,44.0
620,2,64.0,-16.0
621,2,64.0,-15.5
622,2,64.0,10.0
623,2,64.0,10.5
624,2,64.0,11.0
625,2,64.0,11.5
626,2,64.0,12.0
627,2,64.0,12.5
628,2,64.0,13.0
629,2,64.0,13.5
630,2,64.0,14.0
631,2,64.0,14.5
632,2,64.0,15.0
633,2,64.0,15.5
634,2,64.0,16.0
635,2,64.0,16.5
636,2,64.0,17.0
637,2,64.0,17.5
638,2,64.0,18.0
639,2,64.0,18.5
640,2,64.0,19.0
641,2,64.0,19.5
642,2,64.0,20.0
643,2,64.0,20.5
644,2,64.0,21.0
645,2,64.0,23.0
646,2,64.0,23.5
647,2,64.0,24.0
648,2,64.0,24.5
649,2,64.0,25.0
650,2,64.0,25.5
651,2,64.0,26.0
652,2,64.0,26.5
653,2,64.0,27.0
654,2,64.0,27.5
655,2,64.0,28.0
656,2,64.0,28.5
657,2,64.0,29.0
658,2,64.0,29.5
659,2,64.0,30.0
660,2,64.0,30.5
661,2,64.0,31.0
662,2,64.0,31.5
663,2,64.0,32.0
664,2,64.0,32.5
665,2,64.0,33.0
666,2,64.0,33.5
667,2,64.0,34.0
668,2,64.0,34.5
669,2,64.0,35.0
670,2,64.0,35.5
671,2,64.0,36.0
672,2,64.0,36.5
673,2,64.0,37.0
674,2,64.0,38.0
675,2,64.0,38.5
676,2,64.0,39.0
677,2,64.0,39.5
678,2,64.0,40.0
679,2,64.0,40.5
680,2,64.0,41.0
681,2,64.0,41.5
682,2,64.0,42.0
683,2,64.0,42.5
684,2,64.0,43.0
685,2,64.0,43.5
686,2,64.0,44.0
687,2,63.5,8.5
688,2,63.5,9.0
689,2,63.5,9.5
690,2,63.5,10.0
691,2,63.5,10.5
692,2,63.5,11.0
693,2,63.5,11.5
694,2,63.5,12.0
695,2,63.5,12.5
696,2,63.5,13.0
697,2,63.5,13.5
698,2,63.5,14.0
699,2,63.5,14.5
700,2,63.5,15.0
701,2,63.5,15.5
702,2,63.5,16.0
703,2,63.5,16.5
704,2,63.5,17.0
705,2,63.5,17.5
706,2,63.5,18.0
707,2,63.5,18.5
708,2,63.5,19.0
709,2,63.5,19.5
710,2,63.5,20.0
711,2,63.5,22.0
712,2,63.5,22.5
713,2,63.5,23.0
714,2,63.5,23.5
715,2,63.5,24.0
716,2,63.5,24.5
717,2,63.5,25.0
718,2,63.5,25.5
719,2,63.5,26.0
720,2,63.5,26.5
721,2,63.5,27.0
722,2,63.5,27.5
723,2,63.5,28.0
724,2,63.5,28.5
725,2,63.5,29.0
726,2,63.5,29.5
727,2,63.5,30.0
728,2,63.5,30.5
729,2,63.5,31.0
730,2,63.5,31.5
731,2,63.5,32.0
732,2,63.5,32.5
733,2,63.5,33.0
734,2,63.5,33.5
735,2,63.5,34.0
736,2,63.5,34.5
737,2,63.5,35.0
738,2,63.5,35.5
739,2,63.5,36.0
740,2,63.5,36.5
741,2,63.5,37.0
742,2,63.5,37.5
743,2,63.5,38.0
744,2,63.5,38.5
745,2,63.5,39.0
746,2,63.5,39.5
747,2,63.5,40.0
748,2,63.5,40.5
749,2,63.5,41.0
750,2,63.5,41.5
751,2,63.5,42.0
752,2,63.5,42.5
753,2,63.5,43.0
754,2,63.5,43.5
755,2,63.5,44.0
756,2,63.0,7.5
757,2,63.0,8.0
758,2,63.0,8.5
759,2,63.0,9.0
760,2,63.0,9.5
761,2,63.0,10.0
762,2,63.0,10.5
763,2,63.0,11.0
764,2,63.0,11.5
765,2,63.0,12.0
766,2,63.0,12.5
767,2,63.0,13.0
768,2,63.0,13.5
769,2,63.0,14.0
770,2,63.0,14.5
771,2,63.0,15.0
772,2,63.0,15.5
773,2,63.0,16.0
774,2,63.0,16.5
775,2,63.0,17.0
776,2,63.0,17.5
777,2,63.0,18.0
778,2,63.0,18.5
779,2,63.0,21.0
780,2,63.0,21.5
781,2,63.0,22.0
782,2,63.0,22.5
783,2,63.0,23.0
784,2,63.0,23.5
785,2,63.0,24.0
786,2,63.0,24.5
787,2,63.0,25.0
788,2,63.0,25.5
789,2,63.0,26.0
790,2,63.0,26.5
791,2,63.0,27.0
792,2,63.0,27.5
793,2,63.0,28.0
794,2,63.0,28.5
795,2,63.0,29.0
796,2,63.0,29.5
797,2,63.0,30.0
798,2,63.0,30.5
799,2,63.0,31.0
800,2,63.0,31.5
801,2,63.0,32.0
802,2,63.0,32.5
803,2,63.0,33.0
804,2,63.0,33.5
805,2,63.0,34.0
806,2,63.0,34.5
807,2,63.0,35.0
808,2,63.0,35.5
809,2,63.0,36.0
810,2,63.0,36.5
811,2,63.0,37.0
812,2,63.0,37.5
813,2,63.0,38.0
814,2,63.0,38.5
815,2,63.0,39.0
816,2,63.0,39.5
817,2,63.0,40.0
818,2,63.0,40.5
819,2,63.0,41.0
820,2,63.0,41.5
821,2,63.0,42.0
822,2,63.0,42.5
823,2,63.0,43.0
824,2,63.0,43.5
825,2,63.0,44.0
826,2,62.5,6.0
827,2,62.5,6.5
828,2,62.5,7.0
829,2,62.5,7.5
830,2,62.5,8.0
831,2,62.5,8.5
832,2,62.5,9.0
833,2,62.5,9.5
834,2,62.5,10.0
835,2,62.5,10.5
836,2,62.5,11.0
837,2,62.5,11.5
838,2,62.5,12.0
839,2,62.5,12.5
840,2,62.5,13.0
841,2,62.5,13.5
842,2,62.5,14.0
843,2,62.5,14.5
844,2,62.5,15.0
845,2,62.5,15.5
846,2,62.5,16.0
847,2,62.5,16.5
848,2,62.5,17.0
849,2,62.5,17.5
850,2,62.5,21.0
851,2,62.5,21.5
852,2,62.5,22.0
853,2,62.5,22.5
854,2,62.5,23.0
855,2,62.5,23.5
856,2,62.5,24.0
857,2,62.5,24.5
858,2,62.5,25.0
