,cluster,nodes_lat,nodes_lon
366,5,66.5,35.5
367,5,66.5,36.0
368,5,66.5,36.5
369,5,66.5,37.0
370,5,66.5,37.5
371,5,66.5,38.0
372,5,66.5,38.5
373,5,66.5,39.0
374,5,66.5,39.5
375,5,66.5,40.0
376,5,66.5,40.5
377,5,66.5,41.0
378,3,66.0,-16.0
379,3,66.0,-15.5
380,3,66.0,-15.0
381,5,66.0,12.5
382,5,66.0,13.0
383,5,66.0,13.5
384,5,66.0,14.0
385,5,66.0,14.5
386,5,66.0,15.0
387,5,66.0,15.5
388,5,66.0,16.0
389,5,66.0,16.5
390,5,66.0,17.0
391,5,66.0,17.5
392,5,66.0,18.0
393,5,66.0,18.5
394,5,66.0,19.0
395,5,66.0,19.5
396,5,66.0,20.0
397,5,66.0,20.5
398,5,66.0,21.0
399,5,66.0,21.5
400,5,66.0,22.0
401,5,66.0,22.5
402,5,66.0,23.0
403,5,66.0,23.5
404,5,66.0,24.0
405,5,66.0,24.5
406,5,66.0,25.0
407,5,66.0,25.5
408,5,66.0,26.0
409,5,66.0,26.5
410,5,66.0,27.0
411,5,66.0,27.5
412,5,66.0,28.0
413,5,66.0,28.5
414,5,66.0,29.0
415,5,66.0,29.5
416,5,66.0,30.0
417,5,66.0,30.5
418,5,66.0,31.0
419,5,66.0,31.5
420,5,66.0,32.0
421,5,66.0,32.5
422,5,66.0,33.0
423,5,66.0,33.5
424,5,66.0,34.0
425,5,66.0,34.5
426,5,66.0,35.0
427,5,66.0,37.5
428,5,66.0,38.0
429,5,66.0,38.5
430,5,66.0,39.0
431,5,66.0,39.5
432,4,66.0,40.5
433,4,66.0,41.0
434,4,66.0,41.5
435,4,66.0,42.0
436,4,66.0,42.5
437,4,66.0,43.0
438,4,66.0,43.5
439,4,66.0,44.0
440,3,65.5,-16.0
441,3,65.5,-15.5
442,3,65.5,-15.0
443,3,65.5,-14.5
444,3,65.5,-14.0
445,3,65.5,-13.5
446,5,65.5,12.0
447,5,65.5,12.5
448,5,65.5,13.0
449,5,65.5,13.5
450,5,65.5,14.0
451,5,65.5,14.5
452,5,65.5,15.0
453,5,65.5,15.5
454,5,65.5,16.0
455,5,65.5,16.5
456,5,65.5,17.0
457,5,65.5,17.5
458,5,65.5,18.0
459,5,65.5,18.5
460,5,65.5,19.0
461,5,65.5,19.5
462,5,65.5,20.0
463,5,65.5,20.5
464,5,65.5,21.0
465,5,65.5,21.5
466,5,65.5,22.0
467,5,65.5,25.0
468,5,65.5,25.5
469,5,65.5,26.0
470,5,65.5,26.5
471,5,65.5,27.0
472,5,65.5,27.5
473,5,65.5,28.0
474,5,65.5,28.5
475,5,65.5,29.0
476,5,65.5,29.5
477,5,65.5,30.0
478,5,65.5,30.5
479,5,65.5,31.0
480,5,65.5,31.5
481,5,65.5,32.0
482,5,65.5,32.5
