,msl,olr,sm1,t2m,tp,z500
1950-05-16,-359.5078,-3.238678,0.021700919,-1.2096558,-2.8592971e-05,-272.1914
1950-05-17,-361.47656,6.6173553,0.033105433,-2.2559204,1.1364245e-05,-353.14844
1950-05-18,-558.2969,32.934006,0.078380436,-1.6985474,0.0018858812,-479.77734
1950-05-19,-130.15625,0.48132324,0.06414303,0.1329956,0.0003498213,-50.9375
1950-05-20,583.16406,-2.7318268,0.037810683,2.00708,-0.00020665117,1023.78125
1950-05-21,621.8281,-28.291016,0.022784412,3.631134,-0.00022189926,1475.4414
1950-05-22,481.66406,-7.8365784,0.012886763,2.6795654,-0.0001735242,1173.4883
1950-05-23,283.16406,-39.369644,0.0039553344,3.1713867,-0.00019862024,849.39844
1950-05-24,366.82812,-20.05104,0.0049675107,1.9076538,-0.00012006552,630.60156
1950-05-25,337.60938,-27.406708,0.0005083084,2.3149414,-9.4086034e-05,844.8828
1950-05-26,-103.24219,-2.4793549,0.064187735,-1.4898376,0.0013572242,-69.85156
1950-05-27,79.21094,5.5532074,0.074578375,-2.2954102,0.00041590468,-490.53906
1950-05-28,260.6328,-19.827576,0.050548255,-2.1664429,-0.00022024981,-237.0664
1950-05-29,1068.6094,-41.407394,0.030404538,-1.171814,-0.00023792076,965.9844
1950-05-30,884.6328,-15.642685,0.017578244,0.36358643,-0.00023706198,1098.6016
1950-05-31,526.5,-1.9528656,0.0077809393,0.6312256,-0.00023835852,784.04297
1950-06-01,348.6172,2.3524475,0.008374572,0.5689392,-0.00017620948,398.28906
1950-06-02,494.6875,-19.26123,0.010405958,0.1451416,-0.00015323694,635.21094
1950-06-03,680.2344,-9.650299,0.018520415,0.9291687,2.4575493e-05,843.76953
1950-06-04,936.72656,-13.695618,0.036676854,0.94366455,3.9477454e-06,1022.14453
1950-06-05,1079.1016,-14.409988,0.037474573,0.9432068,-0.00020299069,1056.6289
1950-06-06,977.1328,-26.09201,0.017125785,1.6602173,-0.00022062288,1029.6289
1950-06-07,765.9844,-16.439453,0.0049149096,1.6176147,-0.00021577302,1004.48047
1950-06-08,266.3125,-38.498764,-0.0057641864,4.048126,-0.00023470548,797.97266
