,t2mEurope_cluster1,t2mEurope_cluster2,t2mEurope_cluster3,t2mEurope_cluster4,t2mEurope_cluster5
1961-03-08,0.955719,2.3259888,-1.1169434,-0.10772705,3.0512085
1961-03-09,2.0260315,0.8497009,0.011291504,-0.24908447,8.733368
1961-03-10,2.9970703,4.205017,-0.2630005,4.620575,9.005768
1961-03-11,2.0549316,5.8887024,0.5819702,5.408905,7.169098
1961-03-12,3.075714,5.21579,0.77349854,4.0637207,5.018402
1961-03-13,2.5916443,4.8484497,1.3003845,3.898346,3.5624084
1961-03-14,2.4891052,0.09732056,0.877655,2.9126892,0.15280151
1961-03-15,2.28714,0.8389282,-0.90493774,0.46810913,2.9410095
1961-03-16,1.1805725,-0.2052002,-0.49951172,-0.5239563,-0.60775757
1961-03-17,3.5977173,-0.048339844,0.35736084,-1.5274048,-0.4984131
1961-03-18,0.27746582,5.00119,-0.45013428,0.8624573,-3.3652039
1961-03-19,-1.0206604,5.4296265,0.8420105,0.8809509,-2.7863464
1961-03-20,-0.99539185,0.3708496,-0.35284424,-3.9026184,-4.4904785
1961-03-21,-0.4232788,-1.4144287,-0.09207153,-3.907257,-4.817688
1961-03-22,-0.11831665,-0.02178955,0.34481812,-1.8067627,-2.8238525
1961-03-23,1.2122498,-1.9888306,0.6625366,-1.0467224,2.6871948
1961-03-24,1.1767273,0.4768982,-0.23434448,2.055725,1.073761
1961-03-25,1.4050598,1.8853455,-1.6123657,-1.9376526,0.7371216
1961-03-26,1.3379211,1.0666504,-0.934906,-0.77404785,2.4798584
1961-03-27,-1.0619812,3.6638184,-0.2033081,2.7965393,-0.053222656
1961-03-28,-0.8369446,0.5533142,0.9222107,1.5054626,-0.89334106
1961-03-29,0.9217529,-1.4858704,0.12957764,-0.14071655,-2.528839
1961-03-30,2.3616943,0.3930664,-1.6858826,0.29763794,-3.1832886
1961-03-31,0.61538696,2.7674866,-1.4049377,0.20077515,-2.7792053
1961-04-01,1.7009277,0.72543335,-0.5794983,-1.5507507,-3.7849731
1961-04-02,1.320343,1.0679321,-0.6131897,-2.8559265,-4.450012
1961-04-03,0.14675903,2.6424866,0.063446045,-3.057434,-5.6757507
1961-04-04,0.84368896,5.0338135,1.2080994,-2.3131104,-3.724121
1961-04-05,2.9811401,2.618744,0.88513184,-1.6500244,-2.1899414
1961-04-06,3.6615295,5.609833,0.43502808,-1.5522461,-3.072754
1961-04-07,1.3540955,8.836212,0.3989563,-0.6378479,-3.8719788
1961-04-08,0.006378174,9.355194,0.42547607,-1.4705505,-0.8468933
1961-04-09,1.0107117,2.431305,0.6330261,-2.4439392,-1.468689
1961-04-10,1.3381042,-2.9786072,0.40942383,-4.057434,-4.2554016
1961-04-11,0.7946472,-1.0829773,1.0448914,-5.07666,-5.5813904
1961-04-12,2.455658,-0.7350769,0.16903687,-6.2065125,-4.5145874
1961-04-13,3.0410767,-1.48703,-0.19296265,-7.332672,-2.6355286
1961-04-14,2.1666565,2.2157593,-0.2055664,-4.9618835,-0.26553345
1961-04-15,1.8827515,0.5201111,0.2093811,-1.4906311,-0.34655762
1961-04-16,1.5318909,6.002716,0.65734863,-0.7338257,1.9449463
1961-04-17,1.0402222,5.0948486,0.8720398,-0.8080139,1.1069031
1961-04-18,0.47787476,5.1946716,1.0038757,0.43356323,1.1312561
1961-04-19,1.4086304,4.575287,1.434906,-0.2701416,-0.44396973
1961-04-20,2.5702515,1.4358826,1.9151001,-5.808777,-2.520874
1961-04-21,2.7293396,-3.6141968,2.1307373,-6.4161377,-2.280487
1961-04-22,2.2942505,-4.5102844,0.89834595,-6.7382812,-1.6248169
1961-04-23,1.519165,-2.4292297,0.7703552,-1.7055054,-2.863556
1961-04-24,1.1049194,-2.730774,0.52090454,-4.645996,-3.4342957
1961-04-25,2.6083984,-0.71640015,1.2594299,-1.500885,-0.69107056
1961-04-26,2.296997,-3.489746,1.1094666,1.6468506,4.1530457
1961-04-27,1.1513977,-1.4037781,-0.05999756,-0.80197144,-1.1027832
1961-04-28,1.0345764,-1.1121216,-0.38534546,-9.256592,-4.2719727
1961-04-29,0.45513916,-2.5846558,0.09024048,-9.474548,-2.078247
1961-04-30,0.10635376,-6.268524,-0.05718994,-5.7174683,-3.4036255
1961-05-01,1.1690979,-2.9622803,0.9988098,-6.9721375,-2.069336
1961-05-02,1.82724,-1.011322,2.7719421,-4.4414062,0.2060852
1961-05-03,1.5312195,-0.52227783,0.013763428,-1.81781,1.4401245
1961-05-04,2.8695679,-1.7804565,-0.3392334,0.5152283,0.95706177
1961-05-05,2.2288513,-1.9667969,-0.42453003,0.012145996,-1.0166626
1961-05-06,1.4302673,-0.087524414,-1.7764282,1.5093994,-0.3942871
1961-05-07,1.3231812,1.7356262,-1.648468,1.9214783,-1.9848938
1961-05-08,0.9967346,0.84780884,-0.6340637,2.408142,-1.0538025
1961-05-09,0.032684326,-2.2989197,-0.49142456,0.8121643,-1.2814636
1961-05-10,-0.8529663,-1.6367798,-0.005279541,-2.1040955,-0.9414673
1961-05-11,-0.77835083,-1.3114624,1.6768188,-2.497528,-2.363739
1961-05-12,0.96603394,-1.8704224,1.9563293,-2.370575,-2.0985413
1961-05-13,1.2062683,-4.088318,1.8295593,-0.5661011,-2.1665955
1961-05-14,0.70632935,-2.0981445,2.8075256,-2.1950073,-0.8120117
1961-05-15,-0.8769226,-3.2991638,-0.79504395,-0.7236023,-0.9237366
1961-05-16,-0.088378906,-2.8685303,-0.5385437,-1.6720886,-0.4571228
