,sstNorth_Atlantic_cluster1,sstNorth_Atlantic_cluster2,sstNorth_Atlantic_cluster3,sstNorth_Atlantic_cluster4,sstNorth_Atlantic_cluster5
1999-03-06,0.5799847730136998,0.22851544121203288,0.18868828710214933,-0.10140939656059647,1.0991874005044198
1999-03-07,0.6197302203558566,0.21775323878803138,0.1450080730269637,-0.09706978521767592,1.1003189766167594
1999-03-08,0.65140676526056,0.22381345047504997,0.10368147151088133,-0.09222111984901285,1.1047181516146656
1999-03-09,0.6738666288862422,0.22563078638484974,0.07435572063752582,-0.08989233141093082,1.121721224130651
1999-03-10,0.675427369103328,0.22601843888314269,0.07461644343593284,-0.09274145805110126,1.1279262526733256
1999-03-11,0.6549090301609953,0.2592787303680472,0.10164740277492429,-0.09840592185092437,1.1063106488512338
1999-03-12,0.6187072730607464,0.2627762007654956,0.13414322389261052,-0.10336183067914673,1.0826802006388985
1999-03-13,0.5739147877201801,0.2625785540124421,0.15892268040005644,-0.10385066332229512,1.0814364286435105
1999-03-14,0.5275756884479799,0.2686308351648616,0.1600703141728462,-0.09592896398518201,1.1201885068991833
1999-03-15,0.49892933138576356,0.2771035093366724,0.1370174801922073,-0.07922134946763155,1.1786919592149918
1999-03-16,0.4872729615421677,0.25411519926529985,0.10255248192031544,-0.059570394201999076,1.2252150559177133
1999-03-17,0.4937984791740246,0.21275506256594326,0.06365331045582251,-0.04073602215487254,1.2780926103742136
1999-03-18,0.49081821873246273,0.27464465251908393,0.025933538627690086,-0.03161990851094002,1.331754780210752
1999-03-19,0.4674786861280863,0.2658235173023022,-0.0058763905437139675,-0.03662329559312603,1.3939357164668278
1999-03-20,0.4355011352698157,0.2766974291819806,-0.028757139771263294,-0.04804698172346885,1.4347066290065449
1999-03-21,0.4123978175197434,0.23313621884238037,-0.04139048391290273,-0.05946667284554362,1.4376194495209296
1999-03-22,0.3926809725167426,0.21302481208709623,-0.03136041223039814,-0.0775055951474069,1.419678735265406
1999-03-23,0.3710069350965978,0.19360583312179527,-0.007973095449002245,-0.10976759409530294,1.3983340053017757
1999-03-24,0.3461884588015534,0.16734519483318935,0.03404428178720724,-0.16217833314329697,1.3852085811505892
1999-03-25,0.32140724905822926,0.1497135567864839,0.07412485143098559,-0.2180610928215095,1.4068372777725031
1999-03-26,0.30753239344316124,0.14918276115551873,0.09400343675537803,-0.2596586481961383,1.4398137661885835
1999-03-27,0.3026945593556757,0.1412193038667819,0.1209748419727572,-0.2880154124025261,1.4586811600575926
1999-03-28,0.30339200601589084,0.13039634940925032,0.15140934864435363,-0.3038186900439259,1.437181304990473
1999-03-29,0.3062313574372399,0.10803788008324382,0.20208539977240345,-0.31111096534297744,1.3513958690665415
1999-03-30,0.3091229066958977,0.1521996073048895,0.25042558052409525,-0.3097194968861814,1.2702586161644187
1999-03-31,0.3097159267491796,0.17903792978326635,0.2805244819354792,-0.2974626471558741,1.21277878457152
1999-04-01,0.3205814563656045,0.47420879481041156,0.30198435575030547,-0.2708646119448926,1.1626093823171268
1999-04-02,0.3318055699724049,0.46982324864436115,0.3078519493687365,-0.22901041663306348,1.0690254710379246
