,z500Europe_cluster1,z500Europe_cluster2,z500Europe_cluster3,z500Europe_cluster4,z500Europe_cluster5
2005-02-24,1518.2157501401593,35.540549235717776,3756.4476306264546,-1762.9024714589946,-2015.9410972940686
2005-02-25,-461.287872668302,-105.58585148106832,3437.6563374618577,-1886.748035795528,-1666.7930605391232
2005-02-26,-2174.1068739634607,-365.5700645775762,2552.0207254076777,-1836.974471794633,-1090.0009541423517
2005-02-27,-2831.9547816802697,-896.9402525589082,1799.8793623596187,-2067.7287271475907,-572.6800002299982
2005-02-28,-3286.1539555532177,-1311.3229976405519,-202.70890050011428,-2424.813779392277,-842.0394855196246
2005-03-01,-3947.90279771921,-1091.3729514934969,-844.0997003723119,-2459.84138930819,-2639.957451253526
2005-03-02,-3068.583880604525,-462.1712454662901,-625.2347839041646,-2071.971062734857,-3030.0672499640173
2005-03-03,-1811.964651868578,-267.90647692816015,-672.4128570189436,-1605.9294706087996,-1692.3316019766191
2005-03-04,-1029.6015072158166,114.52921504415588,-614.5954993767369,-1611.615174236802,-516.4574510744967
2005-03-05,-430.47945315048315,299.6005839497687,1312.5285465523718,-1581.2365476768543,-519.0288504623844
2005-03-06,-394.9686856497397,-34.90069171776458,2496.383661916266,-1485.7729575680842,390.5073120501477
2005-03-07,-1725.6521579173505,-355.34583452569126,2976.0103444705383,-1269.5099426429565,1321.7692897251666
2005-03-08,-2492.545179878201,-844.3245904623257,2555.0266519529005,-633.7308638406989,1820.8781988473113
2005-03-09,-2339.1479080989216,-1258.2117926406436,2551.6040314927336,24.147295735879275,1996.78330648345
2005-03-10,-2054.529469785452,-1483.4861269348116,914.4393432847322,129.23385360570674,1655.6695647624178
2005-03-11,-2657.0885971942007,-1563.5876943762466,-1337.0813000761866,-153.19785133917952,421.55490370333774
2005-03-12,-3247.944118987965,-1037.9626107508986,-1040.2460159144835,-747.8622827340462,-782.1357516800301
2005-03-13,-2688.1834138626295,-404.71172553453306,-1715.1265137817704,-702.6987066617189,-1347.028079688317
2005-03-14,-1906.0706666641058,126.05531450439969,-1692.3057047447958,-145.79815375259327,-1133.8430095938631
2005-03-15,-1427.1248033902707,396.0634679998958,-952.9461675600386,679.548289111077,513.9257435074198
2005-03-16,-508.6781225677941,444.93747036811334,-314.19574568650575,1327.3321172573685,1250.6526664381963
2005-03-17,-627.6398833826578,736.1008329396749,285.461758636721,1485.8437963135782,2639.377256497265
2005-03-18,-1707.1998264392876,498.5431033913799,1516.6585826393318,1349.6140161929593,3154.939044043547
2005-03-19,-2502.048393766815,-243.71449183063675,2698.144475334194,927.4622995759742,2424.5458047886723
2005-03-20,-2082.1388397235337,-633.7875416068415,2691.6982136904144,681.6322570852094,1213.7318332767238
2005-03-21,-1996.526541798175,-570.0413247064508,2214.051261993327,421.2799023530095,-52.09855737166342
2005-03-22,-1042.6768750836218,-404.390207139377,1833.949677720143,463.5037106153684,-915.1709901497777
2005-03-23,201.17219289175895,-70.89478355661795,1455.0375290045731,515.9219691822439,-715.9360117592671
2005-03-24,984.1465383531215,168.91123335458084,1671.6806756830736,685.1326200536384,-126.28788160243712
2005-03-25,822.2474616759014,392.63214444534145,2335.766144217532,483.42371295071905,330.4172853335835
2005-03-26,278.5768943335089,382.47968281743675,2782.4184917460198,266.39625767063325,-352.53994794944765
