,olrWorld_cluster1,olrWorld_cluster2,olrWorld_cluster3,olrWorld_cluster4,olrWorld_cluster5
1950-04-24,12.472473,-24.038101,6.1193695,-0.8379059,-12.850372
1950-04-25,-23.403946,-69.99562,9.243355,-20.653732,-10.443481
1950-04-26,-3.7182617,-36.539215,10.895409,-3.132904,-16.581818
1950-04-27,-21.996704,-27.496582,5.314102,-0.63978577,-16.059326
1950-04-28,18.473099,-11.308517,4.160324,33.014664,-14.317871
1950-04-29,-1.672226,-24.64212,4.506241,29.667252,-6.152008
1950-04-30,-5.3504333,3.890335,4.257187,48.054703,-1.7625732
1950-05-01,50.498,-4.3932495,1.5590515,25.73668,-7.452759
1950-05-02,38.71512,-10.60788,-0.18299866,12.645905,-17.686035
1950-05-03,44.696213,-23.584778,-5.239853,-19.241943,-22.19461
1950-05-04,27.399155,-33.99765,-3.3134308,-35.35588,-22.622345
1950-05-05,20.567062,-2.9618988,-3.3215637,-18.543839,-20.676727
1950-05-06,13.502609,34.07524,0.9286194,22.010391,-20.521729
1950-05-07,-28.046692,29.237854,6.252777,-49.44603,-18.565552
1950-05-08,-82.40361,-14.514587,7.3670425,-52.24086,-11.574493
1950-05-09,-82.44266,-24.138489,-4.1461487,-42.210205,-4.5648804
1950-05-10,-84.61464,-8.178314,6.174782,-51.629684,-1.2248535
1950-05-11,-51.915802,11.762802,13.682625,-31.948242,-8.147369
1950-05-12,-43.46443,7.868866,17.494537,-48.318665,-11.933838
1950-05-13,-66.442,2.3709564,16.009468,-9.749817,-13.0755005
1950-05-14,-65.63225,10.210434,12.556343,-11.561981,-11.96637
1950-05-15,-64.55881,20.454193,10.8055725,-21.444183,-17.265717
1950-05-16,-6.3503265,34.880753,11.370834,-24.708527,-15.440491
1950-05-17,-17.816452,59.059464,11.529411,-9.079056,-14.337036
1950-05-18,-42.513763,77.95611,12.420021,-4.5054474,-16.771484
1950-05-19,-29.898422,36.185455,9.655144,4.759033,-18.027222
1950-05-20,-6.722519,40.658234,4.8117294,-23.770538,-0.34146118
1950-05-21,45.015747,-3.4052734,0.06932068,22.827667,6.697174
1950-05-22,19.973297,14.728867,1.1777191,41.196045,-15.662811
1950-05-23,19.332138,-6.2048492,-2.6937866,8.862442,-23.326721
1950-05-24,34.028534,63.959915,-4.161209,16.124939,-23.207733
1950-05-25,35.11081,24.615662,-4.665558,50.480118,-11.349243
1950-05-26,23.792862,-28.360748,2.314392,24.58075,3.6391602
1950-05-27,-2.2830658,-50.267166,5.3103714,-27.21344,13.39505
1950-05-28,-34.047607,-51.04338,6.044281,-0.20840454,35.734375
1950-05-29,-29.506897,-47.86641,6.5828247,-7.3691254,10.507141
1950-05-30,-23.56276,-29.132858,7.106148,-7.524872,-0.9871826
1950-05-31,-38.502167,11.250046,5.339134,-14.146713,-1.6036682
1950-06-01,-25.958878,17.757324,4.707123,-16.9003,-3.7015076
1950-06-02,-27.549332,20.291061,-1.7137604,-47.08351,-3.3659668
1950-06-03,-35.69301,-4.902542,4.652565,-45.516464,-5.005951
1950-06-04,-16.976227,11.437805,3.6121902,-40.21315,2.1401062
1950-06-05,-7.216095,-7.3737946,2.0884323,-27.810196,3.6151733
1950-06-06,-17.92517,-15.761612,-7.7580414,-34.36801,0.21276855
1950-06-07,17.609924,-19.502441,-11.722122,-42.92093,-2.2571716
1950-06-08,-5.8365326,-22.89389,-12.459366,-45.60991,2.6130676
1950-06-09,-15.440903,14.184601,-9.168167,-44.53929,6.177124
1950-06-10,-12.7907715,2.891861,-9.45018,-55.711548,17.772583
1950-06-11,-7.6556396,-10.170578,-12.968369,-62.729614,12.581726
1950-06-12,15.810089,21.646774,-12.401077,-32.705795,5.6071167
1950-06-13,5.3276825,50.430023,-6.471466,-48.74321,3.174408
1950-06-14,-8.671631,26.160095,-2.3637085,-60.00682,-0.31704712
1950-06-15,22.778488,-18.25267,0.85461426,-26.6315,2.8092651
1950-06-16,21.03804,10.341766,-0.82214355,-40.82489,2.8788452
1950-06-17,41.55806,13.389114,-3.4869995,-24.778656,2.066742
1950-06-18,12.8567505,31.142273,-2.3712158,-40.135803,-1.9039307
1950-06-19,-2.9388885,63.6024,-1.6137848,6.3838196,0.3942566
1950-06-20,10.275436,49.203766,-6.5907593,19.499329,3.785797
1950-06-21,-0.6790314,26.390228,-7.4862213,40.695618,-4.1137085
1950-06-22,18.91156,39.63582,-0.06109619,-3.5550537,-4.318054
1950-06-23,6.090912,28.256805,-13.193665,-6.324112,-7.8138733
1950-06-24,-35.01747,25.691544,-5.93013,-4.695221,-10.351471
1950-06-25,-28.056396,19.873627,-0.18377686,-1.1720734,-2.5065308
1950-06-26,-9.6684265,19.370956,-4.9493103,-2.554184,-3.9558716
1950-06-27,-9.188553,24.290466,-1.2551804,-26.278427,4.7320557
1950-06-28,-10.988953,46.525955,1.2497101,-11.608459,8.082092
1950-06-29,6.6636505,49.00618,2.80822,-19.860245,-2.6703796
1950-06-30,-3.4772644,-11.731873,1.0213699,-33.589386,5.4524536
1950-07-01,8.320404,9.87294,2.9942627,8.215012,9.44046
1950-07-02,26.513947,16.585724,2.6296158,-16.611496,2.1446228
1950-07-03,58.52765,23.347336,-0.81352997,-58.49565,-3.024231
1950-07-04,27.147903,40.30745,-2.0252,-58.995407,-9.004272
1950-07-05,12.380112,34.083862,-6.247902,-52.84195,-9.240112
1950-07-06,18.686447,12.898865,-3.336914,-66.768585,-12.229675
1950-07-07,38.44565,-16.191269,-0.2923813,-59.36052,-4.674652
1950-07-08,23.014648,-11.997955,1.5110626,-33.989716,25.500092
1950-07-09,19.6678,5.254654,2.9344025,-35.86589,18.383026
1950-07-10,-13.937897,7.7274475,6.3738556,-16.775253,0.8343506
1950-07-11,10.811386,-0.16600037,8.283974,-44.163727,-5.866333
1950-07-12,17.023682,-33.056854,10.566063,-50.852142,-8.341827
1950-07-13,-24.985733,-14.645981,12.892097,-32.857086,-9.995941
1950-07-14,-35.021103,-3.2062073,12.595512,-44.319427,-7.417694
1950-07-15,-14.016373,1.5970917,12.274796,-37.80934,-13.208374
1950-07-16,0.026748657,-13.811111,1.9920578,-14.405106,-10.3949585
1950-07-17,7.1773376,-28.90593,-3.4665375,-28.576996,5.629822
1950-07-18,-6.569504,-16.268707,-5.6186447,-59.663742,16.6716
1950-07-19,18.344803,-14.434372,-4.434372,-33.457672,14.960876
1950-07-20,3.6702423,4.575363,2.2257004,-27.573212,-0.7742615
1950-07-21,43.111633,16.88385,0.05895233,-19.4505,-1.4901733
1950-07-22,48.258804,-5.383621,-2.1389618,-5.885666,-4.461792
1950-07-23,22.357376,-32.467667,7.907608,-39.22943,-3.504425
1950-07-24,-26.175446,-26.374115,11.275734,-37.82724,-2.8347778
1950-07-25,-30.601974,1.8116608,11.101822,-43.273666,-9.067139
1950-07-26,-2.5105743,-2.7265472,11.915199,-56.072754,-13.493195
1950-07-27,-19.463486,-36.227844,14.032082,-53.66986,-2.1444092
1950-07-28,-1.5345001,-0.31021118,17.164299,-44.386597,-9.210327
1950-07-29,-16.230896,-17.374329,14.356377,-55.747894,-11.16156
1950-07-30,-1.3598328,-21.677887,15.369438,-18.728485,-10.145416
1950-07-31,11.756012,-35.09816,15.824089,-26.146088,-6.767639
1950-08-01,1.2599487,9.66394,19.902748,-42.857986,-1.2252808
1950-08-02,-19.08612,23.451385,21.95517,-53.093536,-4.398102
1950-08-03,-18.642807,14.508423,22.563446,-49.274765,-5.580902
1950-08-04,-9.208817,13.512146,14.713699,-32.829773,3.8058777
1950-08-05,-9.242966,5.7297974,-0.059036255,-29.754517,6.605133
1950-08-06,0.938324,8.943069,-1.5024261,-9.762039,4.3012695
1950-08-07,-18.850372,-22.589172,2.5157394,-27.88916,-5.2147217
1950-08-08,-16.95131,-32.081192,1.6238861,-6.986679,-12.193481
1950-08-09,0.75367737,-22.460968,-11.815773,-34.254883,-7.2040405
1950-08-10,-2.1457977,-14.1775055,-0.45335388,-31.737213,-8.367554
1950-08-11,-1.7371674,-24.624542,2.2375793,-44.705032,-15.994293
1950-08-12,20.256317,-39.82016,0.85871124,-49.298157,-4.8074036
1950-08-13,7.234497,-35.15918,-0.3245468,-53.667526,1.912384
1950-08-14,48.889343,-7.70578,3.5928802,-64.65292,7.385071
1950-08-15,23.279144,-5.8180847,5.943634,-64.31865,4.327362
1950-08-16,-2.7788544,31.49582,4.8589783,-26.945358,11.459503
1950-08-17,23.359436,16.7193,5.3665085,-45.37915,7.8256226
1950-08-18,17.9646,23.617737,7.640747,-56.170242,-2.5380554
1950-08-19,30.308182,40.753586,8.221024,-57.697937,-10.961517
1950-08-20,12.119476,38.960907,9.516335,-32.22827,4.6407776
1950-08-21,-26.451248,23.744019,3.229126,-7.1627655,7.6549377
1950-08-22,-8.200409,8.501801,-2.046379,1.3435822,-2.4983215
1950-08-23,2.2884674,28.239777,3.2547836,-26.169968,-10.332062
1950-08-24,28.66687,22.786316,6.5750504,-14.356323,-5.8084717
1950-08-25,17.00177,-7.309143,8.173332,-49.88971,-5.077667
1950-08-26,18.776749,-32.468628,-0.14395905,-50.14174,-4.706787
1950-08-27,28.743607,-1.898056,-8.430649,-21.545242,-2.3589783
1950-08-28,13.257935,-8.95607,-10.023224,-28.064774,2.071106
1950-08-29,4.519211,0.6509094,-10.227776,-14.656143,-8.000305
1950-08-30,0.38113403,0.61013794,-4.800583,-34.575943,-2.9588928
1950-08-31,6.8421936,14.949844,3.8224792,-48.371017,-7.3051147
1950-09-01,8.305298,32.555267,-8.073135,4.1443024,-10.55542
1950-09-02,8.374878,30.761917,-1.377182,-9.469589,-7.872467
1950-09-03,47.239166,14.141403,4.400177,41.870834,-5.142395
1950-09-04,-3.3059235,7.521057,5.0962906,52.23848,-7.912262
1950-09-05,0.19174194,23.866425,-1.1363525,43.407074,-8.352539
1950-09-06,-12.013718,-9.374954,-6.2092743,38.271835,-6.3832397
1950-09-07,8.047607,-24.09848,-2.794609,30.77652,-5.5343018
1950-09-08,13.077881,-19.422989,2.553566,-14.938461,-10.834808
1950-09-09,18.635452,-18.450424,5.3203583,-2.7095032,-7.1276855
1950-09-10,1.920929,-7.763092,-1.7288208,-20.32248,-10.1138
1950-09-11,1.3302612,14.4077,-2.245285,18.122192,-11.306061
1950-09-12,-6.4759064,-8.927383,2.8934937,14.173309,-9.683899
1950-09-13,-13.7561035,-30.142258,-0.1825409,37.690094,-10.204651
1950-09-14,-11.143478,-3.157135,-3.0523071,-6.996689,-10.411377
1950-09-15,-20.703842,17.093124,-4.285858,4.7484283,-11.787048
1950-09-16,-15.493744,31.095245,1.103653,22.904816,-13.482239
1950-09-17,9.630997,24.47847,4.5877075,-23.783813,-12.737427
1950-09-18,10.732742,13.136948,6.603615,-2.9545288,-2.6064758
1950-09-19,10.038315,9.532059,-1.71344,-5.454239,-2.239441
