,t2mEurope_cluster1,t2mEurope_cluster2,t2mEurope_cluster3,t2mEurope_cluster4,t2mEurope_cluster5
1983-12-08,-3.7990316568991105,1.2383233819155701,-0.7295672494897487,1.4555103057951626,-1.1719134927014148
1983-12-09,-2.890071799872308,-0.034492144570111,-0.986569825839757,4.0444858687766025,-7.643781303342102
1983-12-10,-2.793522334996701,0.5922929450530897,-0.748919439459659,-1.2470471543577908,-11.564989470702367
1983-12-11,-5.133028009936613,1.04388282951472,-1.1385280187800142,-2.885488847025801,-10.865370978791793
1983-12-12,-6.444435228445858,-2.603754656668879,-1.1248331380421506,-5.410780556520535,-8.555154817428242
1983-12-13,-6.222732368043945,-4.986153866759328,-2.087912966401745,-6.231324016139229,-5.04711474413072
1983-12-14,-5.956160726213228,-5.433930902003417,-3.0979436815511994,-3.06322975792424,1.929047310105392
1983-12-15,-4.3870054293986325,-5.125197518238653,-2.4664189948671336,4.186290389535221,6.941231010358622
1983-12-16,-2.757441720350644,-4.983327543047165,-1.7705529520337713,2.123701980896047,4.9255823618181624
1983-12-17,-0.38354267265861913,-4.369127577028019,-1.4230168794367288,0.9625196709749078,2.236581346720641
1983-12-18,1.7518531159649364,-2.033719815593262,-0.33342754559553184,1.5346884693368166,-0.12879476371790308
1983-12-19,4.238006523491742,1.5807486068883991,0.12711043237728928,4.420625393843234,-0.7405863460778461
1983-12-20,4.493806397786718,3.296300343481021,0.5655379379987775,7.238602416051987,-1.215014961871883
1983-12-21,3.893611229642047,3.654565982668049,0.46513429133327844,10.716849760244523,-1.5439797504706894
1983-12-22,4.789634006198833,3.6794275066459288,0.18859501706135,12.508628298199973,0.10828844026982823
1983-12-23,5.893234798024954,4.617382293172117,0.42978646991015756,13.863569526620491,1.4379818209727502
1983-12-24,6.380550603007241,4.665196678419441,0.944009333508375,14.32543483350715,2.5437875345396432
1983-12-25,6.696378306175178,4.8525412651515305,1.354102214591953,10.929546989155064,-2.831828653446277
1983-12-26,5.967795552563348,6.190394333390944,1.1855384881379416,6.239486135598499,-3.4751053084033194
1983-12-27,4.587671742705477,5.39761053765849,1.5139223197174427,4.653399012412636,0.7346026739934234
1983-12-28,5.720812190493828,5.844342355022742,0.8447822689355161,8.784073342484131,3.880127199194444
1983-12-29,4.990757518317674,6.9279051216239305,1.0964629598385722,7.770948226825507,1.2920148760403138
1983-12-30,3.7857054494003353,4.082084907260722,0.3226235840684092,0.7185541137220516,0.7234648182295137
1983-12-31,3.5904015360888346,4.721959228673141,-0.3206437280499575,0.6328521038414935,0.49391958118661927
1984-01-01,3.4230082208498995,5.079436560163825,-0.16166183826738914,2.4986541421142383,1.4392356785919214
1984-01-02,3.302572570120971,7.387851036538792,-0.23689230576975293,8.882613872843656,1.1182593099095555
1984-01-03,3.963992029845105,6.759941174620294,-0.02723533948826243,9.801733335676664,0.47029289006571656
1984-01-04,1.7541826368790896,7.616403240551701,0.022072297273645236,12.882036842825856,-0.43265954632614617
1984-01-05,-0.14119958615410239,5.893315218174435,-0.4741561010705933,8.903827700733213,-1.1559622398891565
1984-01-06,0.6741793564947749,3.9413375623517592,-0.5396290707471503,6.976457878200526,-3.553246517343141
1984-01-07,1.3851137228165624,3.580068667619986,0.5555655163548247,8.913523459616933,-4.783047563239256
1984-01-08,0.13667064255969302,3.3189621063787746,1.3013499422326014,6.88269584776348,-6.899756471256952
1984-01-09,-1.5248303979874018,3.9205628746142804,0.7939636772399848,1.1038782584562545,-11.828193586426197
1984-01-10,-2.1433512151116614,3.688692017753967,-0.19089307789775728,-3.6561484302918523,-6.426577823995623
1984-01-11,-2.0459473217947997,1.3554010705212312,-1.2444626969367412,-5.583744564558197,2.882845077162004
1984-01-12,-1.3732293580022052,-0.6986550750458155,-0.8372488329781491,3.364638981450009,5.744455414060097
1984-01-13,0.8387680738876492,-2.1700975447837703,0.09615593715064952,9.30485417049001,7.949700460591116
1984-01-14,2.7593819995694977,-1.5899941736491445,-0.0724641883996828,5.802952356111123,7.320518841828804
1984-01-15,1.9850302305741931,2.889805911721329,0.49199689784364553,7.593928077655731,3.7915547265797334
1984-01-16,1.1637746361404395,3.5446313685871464,0.44073571577739423,11.255623855210507,2.3923448949891375
