,mslWorld_cluster1,mslWorld_cluster2,mslWorld_cluster3,mslWorld_cluster4,mslWorld_cluster5
1950-06-01,-1534.7891,197.26562,-77.96875,388.77344,93.78125
1950-06-02,712.5469,-336.58594,125.671875,-1079.4375,56.65625
1950-06-03,1173.6562,-160.07031,-39.960938,-1433.2812,115.796875
1950-06-04,611.8672,851.5625,-1077.6562,95.36719,-33.40625
1950-06-05,400.75,1306.3828,-1818.3594,1430.4531,-18.539062
1950-06-06,-366.625,514.2578,-1408.5156,1435.2578,-8.1328125
1950-06-07,31.148438,337.3672,-930.1875,380.67188,91.265625
1950-06-08,-218.34375,247.96094,-582.28125,1704.1562,47.398438
1950-06-09,-804.89844,-503.28906,-687.8281,1384.4688,-75.28906
1950-06-10,-377.83594,-890.5469,-579.5703,295.4922,-97.890625
1950-06-11,-105.703125,-483.78125,-551.41406,-460.53125,-64.96094
1950-06-12,-688.4922,-454.76562,-305.3047,1864.9062,-37.703125
1950-06-13,-863.1094,-991.0781,-681.1406,3281.3203,-25.359375
1950-06-14,-266.8828,279.5078,-756.41406,2104.0781,-99.88281
1950-06-15,-91.3125,1376.4297,-962.35156,542.1875,-71.96875
1950-06-16,215.64844,1918.8672,-1110.5859,141.02344,-39.125
1950-06-17,399.14062,1084.8594,-947.78125,583.39844,-22.101562
1950-06-18,187.75,287.8125,-464.25,1179.0312,-91.17969
1950-06-19,-693.66406,99.96875,609.9219,1135.1016,-173.5
1950-06-20,-167.17188,-1209.6719,930.375,326.01562,-147.46875
1950-06-21,-676.6172,-810.2422,1124.6797,-549.8672,29.125
1950-06-22,-618.33594,31.804688,1202.2812,-1398.0312,30.96875
1950-06-23,-584.0781,281.25,1573.0547,-575.35156,-65.88281
1950-06-24,-190.86719,-726.6406,1717.9375,-313.96094,-71.52344
1950-06-25,65.46094,-981.21094,1170.8828,-382.52344,21.546875
1950-06-26,586.3047,211.82031,1083.4766,-1867.0234,-11.2421875
1950-06-27,411.21875,318.5547,1222.0156,-2889.9453,-64.69531
1950-06-28,790.3906,1006.0703,545.3281,-3019.7344,-15.9453125
1950-06-29,924.6719,1343.5156,120.08594,-2858.1406,-97.25781
1950-06-30,951.02344,1783.1016,235.60156,-803.03125,-83.828125
1950-07-01,728.5469,1520.7734,636.3281,-450.46094,-80.03906
