,cluster,nodes_lat,nodes_lon
309,4,69.0,17.5
310,4,69.0,18.0
311,4,69.0,18.5
312,4,69.0,19.0
313,4,69.0,19.5
314,4,69.0,20.0
315,4,69.0,20.5
316,4,69.0,21.0
317,4,69.0,21.5
318,4,69.0,22.0
319,4,69.0,22.5
320,4,69.0,23.0
321,4,69.0,23.5
322,4,69.0,24.0
323,4,69.0,24.5
324,4,69.0,25.0
325,4,69.0,25.5
326,4,69.0,26.0
327,4,69.0,26.5
328,4,69.0,27.0
329,4,69.0,27.5
330,4,69.0,28.0
331,4,69.0,28.5
332,4,69.0,29.0
333,4,69.0,29.5
334,4,69.0,30.0
335,4,69.0,30.5
336,4,69.0,31.0
337,4,69.0,31.5
338,4,69.0,32.0
339,4,69.0,32.5
340,4,69.0,33.0
341,4,69.0,33.5
342,4,69.0,34.0
343,4,69.0,34.5
344,4,69.0,35.0
345,4,69.0,35.5
346,4,69.0,36.0
347,4,69.0,36.5
348,4,69.0,37.0
349,4,69.0,37.5
350,4,69.0,38.0
351,4,69.0,38.5
352,4,69.0,39.0
353,4,69.0,39.5
354,4,69.0,40.0
355,4,69.0,40.5
356,4,69.0,41.0
357,4,69.0,41.5
358,4,69.0,42.0
359,4,69.0,42.5
360,4,69.0,43.0
361,4,69.0,43.5
362,4,69.0,44.0
363,4,68.5,-16.0
364,4,68.5,-15.5
365,4,68.5,-15.0
366,4,68.5,-14.5
367,4,68.5,-14.0
368,4,68.5,-13.5
369,4,68.5,-13.0
370,4,68.5,-12.5
371,4,68.5,-12.0
372,4,68.5,-11.5
373,4,68.5,-11.0
374,4,68.5,-10.5
375,4,68.5,-10.0
376,4,68.5,-9.5
377,4,68.5,-9.0
378,4,68.5,-8.5
379,4,68.5,-8.0
380,4,68.5,-7.5
381,4,68.5,-7.0
382,4,68.5,-6.5
383,4,68.5,-6.0
384,4,68.5,-5.5
385,4,68.5,-5.0
386,4,68.5,-4.5
387,4,68.5,-4.0
388,4,68.5,-3.5
389,4,68.5,-3.0
390,4,68.5,-2.5
391,4,68.5,-2.0
392,4,68.5,-1.5
393,4,68.5,-1.0
394,4,68.5,-0.5
395,4,68.5,0.0
396,4,68.5,0.5
397,4,68.5,1.0
398,4,68.5,1.5
399,4,68.5,2.0
400,4,68.5,2.5
401,4,68.5,3.0
402,4,68.5,3.5
403,4,68.5,4.0
404,4,68.5,4.5
405,4,68.5,5.0
406,4,68.5,5.5
407,4,68.5,6.0
408,4,68.5,6.5
409,4,68.5,7.0
410,4,68.5,7.5
411,4,68.5,8.0
412,4,68.5,8.5
413,4,68.5,9.0
414,4,68.5,9.5
415,4,68.5,10.0
416,4,68.5,10.5
417,4,68.5,11.0
418,4,68.5,11.5
419,4,68.5,12.0
420,4,68.5,12.5
421,4,68.5,13.0
422,4,68.5,13.5
423,4,68.5,14.0
424,4,68.5,14.5
425,4,68.5,15.0
426,4,68.5,15.5
427,4,68.5,16.0
428,4,68.5,16.5
429,4,68.5,17.0
430,4,68.5,17.5
431,4,68.5,18.0
432,4,68.5,18.5
433,4,68.5,19.0
434,4,68.5,19.5
435,4,68.5,20.0
436,4,68.5,20.5
437,4,68.5,21.0
438,4,68.5,21.5
439,4,68.5,22.0
440,4,68.5,22.5
441,4,68.5,23.0
442,4,68.5,23.5
443,4,68.5,24.0
444,4,68.5,24.5
445,4,68.5,25.0
446,4,68.5,25.5
447,4,68.5,26.0
448,4,68.5,26.5
449,4,68.5,27.0
450,4,68.5,27.5
451,4,68.5,28.0
452,4,68.5,28.5
453,4,68.5,29.0
454,4,68.5,29.5
455,4,68.5,30.0
456,4,68.5,30.5
457,4,68.5,31.0
458,4,68.5,31.5
459,4,68.5,32.0
460,4,68.5,32.5
461,4,68.5,33.0
462,4,68.5,33.5
463,4,68.5,34.0
464,4,68.5,34.5
465,4,68.5,35.0
466,4,68.5,35.5
467,4,68.5,36.0
468,4,68.5,36.5
469,4,68.5,37.0
470,4,68.5,37.5
471,4,68.5,38.0
472,4,68.5,38.5
473,4,68.5,39.0
474,4,68.5,39.5
475,4,68.5,40.0
476,4,68.5,40.5
477,4,68.5,41.0
478,4,68.5,41.5
479,4,68.5,42.0
480,4,68.5,42.5
481,4,68.5,43.0
482,4,68.5,43.5
483,4,68.5,44.0
484,4,68.0,-16.0
485,4,68.0,-15.5
486,4,68.0,-15.0
487,4,68.0,-14.5
488,4,68.0,-14.0
489,4,68.0,-13.5
490,4,68.0,-13.0
491,4,68.0,-12.5
492,4,68.0,-12.0
493,4,68.0,-11.5
494,4,68.0,-11.0
495,4,68.0,-10.5
496,4,68.0,-10.0
497,4,68.0,-9.5
498,4,68.0,-9.0
499,4,68.0,-8.5
500,4,68.0,-8.0
501,4,68.0,-7.5
502,4,68.0,-7.0
503,4,68.0,-6.5
504,4,68.0,-6.0
505,4,68.0,-5.5
506,4,68.0,-5.0
507,4,68.0,-4.5
508,4,68.0,-4.0
509,4,68.0,-3.5
510,4,68.0,-3.0
511,4,68.0,-2.5
512,4,68.0,-2.0
513,4,68.0,-1.5
514,4,68.0,-1.0
515,4,68.0,-0.5
516,4,68.0,0.0
517,4,68.0,0.5
518,4,68.0,1.0
519,4,68.0,1.5
520,4,68.0,2.0
521,4,68.0,2.5
522,4,68.0,3.0
523,4,68.0,3.5
524,4,68.0,4.0
525,4,68.0,4.5
526,4,68.0,5.0
527,4,68.0,5.5
528,4,68.0,6.0
529,4,68.0,6.5
530,4,68.0,7.0
531,4,68.0,7.5
532,4,68.0,8.0
533,4,68.0,8.5
534,4,68.0,9.0
535,4,68.0,9.5
536,4,68.0,10.0
537,4,68.0,10.5
538,4,68.0,11.0
539,4,68.0,11.5
540,4,68.0,12.0
541,4,68.0,12.5
542,4,68.0,13.0
543,4,68.0,13.5
544,4,68.0,14.0
545,4,68.0,14.5
546,4,68.0,15.0
547,4,68.0,15.5
548,4,68.0,16.0
549,4,68.0,16.5
550,4,68.0,17.0
551,4,68.0,17.5
552,4,68.0,18.0
553,4,68.0,18.5
554,4,68.0,19.0
555,4,68.0,19.5
556,4,68.0,20.0
557,4,68.0,20.5
558,4,68.0,21.0
559,4,68.0,21.5
560,4,68.0,22.0
561,4,68.0,22.5
562,4,68.0,23.0
563,4,68.0,23.5
564,4,68.0,24.0
565,4,68.0,24.5
566,4,68.0,25.0
567,4,68.0,25.5
568,4,68.0,26.0
569,4,68.0,26.5
570,4,68.0,27.0
571,4,68.0,27.5
572,4,68.0,28.0
573,4,68.0,28.5
574,4,68.0,29.0
575,4,68.0,29.5
576,4,68.0,30.0
577,4,68.0,30.5
578,4,68.0,31.0
579,4,68.0,31.5
580,4,68.0,32.0
581,4,68.0,32.5
582,4,68.0,33.0
583,4,68.0,33.5
584,4,68.0,34.0
585,4,68.0,34.5
586,4,68.0,35.0
587,4,68.0,35.5
588,4,68.0,36.0
589,4,68.0,36.5
590,4,68.0,37.0
591,4,68.0,37.5
592,4,68.0,38.0
593,4,68.0,38.5
594,4,68.0,39.0
595,4,68.0,39.5
596,4,68.0,40.0
597,4,68.0,40.5
598,4,68.0,41.0
599,4,68.0,41.5
600,4,68.0,42.0
601,4,68.0,42.5
602,4,68.0,43.0
603,4,68.0,43.5
604,4,68.0,44.0
605,4,67.5,-16.0
606,4,67.5,-15.5
607,4,67.5,-15.0
608,4,67.5,-14.5
609,4,67.5,-14.0
610,4,67.5,-13.5
611,4,67.5,-13.0
612,4,67.5,-12.5
613,4,67.5,-12.0
614,4,67.5,-11.5
615,4,67.5,-11.0
616,4,67.5,-10.5
617,4,67.5,-10.0
618,4,67.5,-9.5
619,4,67.5,-9.0
620,4,67.5,-8.5
621,4,67.5,-8.0
622,4,67.5,-7.5
623,4,67.5,-7.0
624,4,67.5,-6.5
625,4,67.5,-6.0
626,4,67.5,-5.5
627,4,67.5,-5.0
628,4,67.5,-4.5
629,4,67.5,-4.0
630,4,67.5,-3.5
631,4,67.5,-3.0
632,4,67.5,-2.5
633,4,67.5,-2.0
634,4,67.5,-1.5
635,4,67.5,-1.0
636,4,67.5,-0.5
637,4,67.5,0.0
638,4,67.5,0.5
639,4,67.5,1.0
640,4,67.5,1.5
641,4,67.5,2.0
642,4,67.5,2.5
643,4,67.5,3.0
644,4,67.5,3.5
645,4,67.5,4.0
646,4,67.5,4.5
647,4,67.5,5.0
648,4,67.5,5.5
649,4,67.5,6.0
650,4,67.5,6.5
651,4,67.5,7.0
652,4,67.5,7.5
653,4,67.5,8.0
654,4,67.5,8.5
655,4,67.5,9.0
656,4,67.5,9.5
657,4,67.5,10.0
658,4,67.5,10.5
659,4,67.5,11.0
660,4,67.5,11.5
661,4,67.5,12.0
662,4,67.5,12.5
663,4,67.5,13.0
664,4,67.5,13.5
665,4,67.5,14.0
666,4,67.5,14.5
