,olrNorth_Atlantic_cluster1,olrNorth_Atlantic_cluster2,olrNorth_Atlantic_cluster3,olrNorth_Atlantic_cluster4,olrNorth_Atlantic_cluster5
1950-06-14,-57.184982,-22.135544,-9.709534,17.24965,5.520157
1950-06-15,-30.252975,2.1870117,-8.235748,9.225952,11.750992
1950-06-16,-19.206573,17.060043,-7.9446716,-3.9484253,16.42366
1950-06-17,5.703308,5.672241,-5.868988,-2.8043213,-3.1210632
1950-06-18,-8.814941,-10.13858,-7.7359924,-12.217133,13.248169
1950-06-19,-12.469238,-24.183517,-6.945648,-5.00473,7.3911285
1950-06-20,-21.068924,-21.744446,-2.392273,-1.9509277,9.702728
1950-06-21,-11.9826355,-16.695633,-6.6714783,-1.8494263,23.671707
1950-06-22,13.441406,-10.049713,-7.138031,3.3825684,16.434021
1950-06-23,59.027344,-11.857712,-5.4276733,-2.1671143,-2.5619202
1950-06-24,24.104218,-12.627533,-7.923767,-6.8992004,-3.8342285
1950-06-25,26.829971,-2.2338562,-7.957123,-20.42044,-13.629929
1950-06-26,1.281311,0.67367554,-5.8642273,-7.8129272,-4.849991
1950-06-27,22.517578,-1.3629913,-4.7770996,42.2108,-3.5625153
1950-06-28,31.157806,-11.021622,0.70880127,51.338943,19.016983
1950-06-29,51.83867,-9.191605,5.5358276,-2.618042,-8.341354
1950-06-30,19.97789,-8.746841,5.4861755,7.1916504,-22.586761
1950-07-01,-14.332397,-5.176895,0.96673584,1.6352692,-11.4531555
1950-07-02,-23.72165,-7.7145996,2.3188782,-5.7149353,-11.974609
1950-07-03,-21.197876,1.7740936,-0.09106445,33.35649,-10.956757
1950-07-04,1.2606964,13.124542,-4.7742615,74.04474,-21.027802
1950-07-05,3.657013,-0.8396759,-6.6310425,33.95607,-22.65628
1950-07-06,-27.70514,12.81102,-5.653137,46.439056,-12.561127
1950-07-07,-9.071884,-6.4128265,-4.1171265,-12.876541,-11.843094
1950-07-08,16.544983,-8.15686,2.3272705,7.1344147,-27.36818
1950-07-09,22.945831,1.4863434,4.549011,6.7759857,-13.578445
1950-07-10,-2.404541,-2.9298706,1.4700623,62.633606,7.0401306
1950-07-11,10.587158,15.410645,-0.79074097,75.34642,33.282852
1950-07-12,-3.6709137,-0.51483154,-1.2452087,80.62306,17.697891
1950-07-13,-7.902588,-1.0244446,-1.4109497,52.03943,17.018372
1950-07-14,-5.4659576,-5.258896,-4.013489,70.79576,-21.997574
1950-07-15,-5.464554,16.734116,-9.590668,90.75502,-25.06041
1950-07-16,15.513336,-3.7175903,-9.91748,68.722,-20.17134
1950-07-17,-2.463913,-14.599457,-4.7359924,47.398926,31.317581
1950-07-18,-11.410934,-15.672989,-2.875061,19.725845,56.277527
1950-07-19,9.002579,-14.121674,4.06485,51.120834,-3.9585114
1950-07-20,-17.272995,-2.8036957,8.396454,45.823578,-4.269058
1950-07-21,-2.075882,-5.7258453,10.495331,73.93027,-4.552002
1950-07-22,10.395889,7.0993347,8.413361,15.209564,22.33992
1950-07-23,-2.0568085,-1.0951843,-3.9518127,13.580963,-4.4557495
1950-07-24,1.3908997,10.70668,4.748535,38.74153,44.71962
1950-07-25,-4.0949097,-9.547668,12.940491,36.856644,25.023132
1950-07-26,1.8088074,8.99881,4.355316,49.638123,9.300842
1950-07-27,12.326263,31.90535,4.5231323,14.046951,37.73993
1950-07-28,8.149841,-7.004013,9.035339,7.398575,35.321747
1950-07-29,14.004288,0.12057495,3.7015686,10.086533,5.3197327
1950-07-30,0.26228333,-4.9917603,-2.074707,0.7513733,-23.896042
1950-07-31,5.176346,-14.177826,-0.9923706,45.250244,-12.437576
1950-08-01,10.399887,-10.081284,7.1190796,76.96661,-10.089218
1950-08-02,41.87155,-7.076782,4.255768,5.7522583,1.7456665
1950-08-03,61.005173,13.735687,0.33370972,51.28595,-5.645218
1950-08-04,21.293549,31.703964,1.8036499,47.76219,-19.73764
1950-08-05,0.843338,24.649109,-1.5707397,11.154999,-6.7470856
