,z500World_cluster1,z500World_cluster2,z500World_cluster3,z500World_cluster4,z500World_cluster5
1950-05-22,-73.02734,2066.3281,-622.6328,695.41016,20.992188
1950-05-23,-63.19922,911.9414,-567.9453,686.72266,191.91016
1950-05-24,-106.57031,447.30078,-573.39844,425.78125,290.29688
1950-05-25,-130.23828,64.01172,-1177.0703,166.48438,541.27734
1950-05-26,-96.10547,-902.5742,-1851.9492,57.835938,227.30078
1950-05-27,-100.05078,-1627.6836,-1639.3906,132.67578,151.65625
1950-05-28,-115.93359,-1018.40234,-757.1953,225.51562,-38.066406
1950-05-29,-36.914062,-2490.0352,-919.84766,66.57031,-250.33203
1950-05-30,7.0078125,-3240.3906,-636.16406,-338.78516,-205.21875
1950-05-31,18.960938,-1645.3477,-643.34766,-220.1875,-199.80078
1950-06-01,-16.96875,-556.2344,-653.5703,75.14844,-126.30078
1950-06-02,-40.171875,-1143.8086,-388.36328,-281.14062,103.24609
1950-06-03,-37.023438,-973.9531,-581.52344,-419.7539,313.08984
1950-06-04,-137.15234,721.3906,-1234.3672,94.265625,-433.70312
1950-06-05,-131.79688,2428.0078,-1370.2461,579.4883,-658.4375
1950-06-06,-80.75781,2045.9453,-1610.2695,562.53906,-443.70703
1950-06-07,-45.785156,1686.6641,-1436.3711,391.21484,-253.64062
1950-06-08,-102.84375,2189.668,-1104.1719,-230.95312,217.9961
1950-06-09,-145.08984,1543.4141,-954.1406,-563.6289,-423.36328
1950-06-10,-126.91406,76.66406,-715.6406,-249.44531,-117.33203
1950-06-11,-86.61719,-1379.3359,-316.92578,-74.23047,-570.66016
1950-06-12,-84.15234,903.10156,63.953125,-128.63672,-372.8711
1950-06-13,-94.69141,2623.6016,-63.535156,-679.1836,10.957031
1950-06-14,-115.01172,1362.375,-369.22656,-731.33203,-275.2422
1950-06-15,-142.16406,102.62891,-642.6328,110.49219,-588.9961
1950-06-16,-93.203125,-393.5547,-812.22656,1215.7617,-317.22656
1950-06-17,-54.714844,-459.84766,-863.2539,844.48047,-30.496094
1950-06-18,-121.23828,661.53516,-695.3203,242.78125,-162.57422
1950-06-19,-200.44922,652.6211,-142.65625,54.85547,-96.83594
1950-06-20,-217.76953,-431.33203,465.8086,-1073.3984,425.78516
1950-06-21,-81.66797,-915.76953,835.3047,-1599.6836,1287.2109
1950-06-22,-47.71875,-1213.7578,930.10156,-150.32812,1831.5586
1950-06-23,-61.679688,-610.8164,1620.5156,462.1953,2648.211
1950-06-24,-62.464844,-1218.6836,2804.2695,395.29297,2622.8125
1950-06-25,-55.83203,-1378.7031,2896.6914,21.808594,1994.4336
1950-06-26,-87.37109,-1244.293,2581.664,36.1875,1690.3906
1950-06-27,-104.22656,-1944.4414,2496.918,54.117188,1010.0664
1950-06-28,-125.328125,-2340.8164,1994.3789,582.7617,124.43359
1950-06-29,-137.21875,-2359.1719,1325.707,902.47266,-84.328125
1950-06-30,-130.47266,-1597.6445,871.78125,922.8125,-248.09375
1950-07-01,-125.92969,-1876.5742,1015.6797,359.41797,-176.5586
1950-07-02,-174.84766,-4460.453,1265.9492,740.8047,-57.121094
1950-07-03,-178.78516,-4166.0703,1512.2305,1121.5977,-0.23046875
1950-07-04,-98.96484,-3620.8203,1730.4688,1519.3516,-469.77734
1950-07-05,-14.417969,-3017.3281,1842.457,1317.1602,-811.73047
1950-07-06,-21.304688,-3761.8906,1754.6055,1578.7227,-722.29297
1950-07-07,-92.328125,-1720.7461,1299.8516,1411.25,-1055.6953
1950-07-08,-93.07422,-1046.8203,984.21484,571.10547,-596.4336
1950-07-09,-88.99219,-1680.7891,766.59375,209.34375,-247.39844
1950-07-10,-41.652344,-1207.6719,462.10156,-327.08594,-122.97656
1950-07-11,-101.21875,71.74219,432.5625,-716.2344,-116.83984
1950-07-12,-131.58594,-74.75781,-20.871094,-1509.2383,-372.8789
1950-07-13,-150.3711,-571.27734,348.6875,-1681.7266,-385.48438
1950-07-14,-104.296875,-1111.9141,1019.9961,-1573.7148,12.8046875
1950-07-15,-52.558594,-1063.2383,1292.6953,-1596.1094,773.2344
1950-07-16,-35.73047,-1897.7852,1569.5703,-856.6211,1464.9609
1950-07-17,-142.86719,-1081.6367,1811.793,259.96094,2021.5938
1950-07-18,-209.77344,-375.32812,2055.6953,1567.6016,2009.1328
1950-07-19,-160.58984,-142.55078,2060.0938,431.33203,2026.5156
1950-07-20,-162.29688,231.01953,2002.3086,275.5,2152.9688
1950-07-21,-163.47266,37.757812,1957.7617,-0.87890625,1882.5508
1950-07-22,-206.33203,-1355.1641,1692.3984,-230.5586,1036.3438
1950-07-23,-203.8711,-2100.9883,1244.7695,-645.65625,165.4414
1950-07-24,-105.796875,-1405.2109,804.1797,-713.45703,241.90234
1950-07-25,-83.35156,-786.22266,1475.3477,-736.96875,286.39453
1950-07-26,-69.93359,-704.83203,1380.7656,-277.875,522.8711
1950-07-27,-90.69922,-1572.3984,1048.5,-675.3047,685.15234
1950-07-28,-102.05078,-1469.9648,775.8203,-1091.9219,613.8828
1950-07-29,-89.75,-799.0586,86.39453,-711.9883,513.16797
1950-07-30,-156.08984,-659.02344,-868.9492,-815.6953,-5.6796875
1950-07-31,-129.21094,-904.9531,-1089.9805,-1410.6328,-240.30078
1950-08-01,-96.125,-1222.0547,-545.28516,-1487.7109,-82.859375
1950-08-02,-52.046875,-1403.5234,-98.44141,-1280.5234,-565.3164
1950-08-03,-62.429688,-2342.3828,299.7461,-707.96875,-961.10547
1950-08-04,-85.44922,-3179.5625,279.1875,-333.27734,-727.97656
1950-08-05,-83.40234,-870.8672,-25.996094,-396.60156,-1027.6055
1950-08-06,-114.0,-70.60156,-173.14062,-598.6914,-1094.4336
1950-08-07,-138.09375,-1473.9805,-369.1289,-233.85938,-190.29297
1950-08-08,-170.92188,-757.27734,-390.75,474.71484,-55.777344
1950-08-09,-189.1211,-1329.6523,-437.26562,-653.8281,-389.46094
1950-08-10,-162.94531,-382.7539,-348.28516,-1201.7305,-363.5
1950-08-11,-91.76953,414.0586,-643.09375,-1306.2148,-794.4844
1950-08-12,-90.90625,-566.91406,-545.2656,-1183.5234,-1333.5234
1950-08-13,-148.92969,206.4961,-141.16797,-1659.3711,-1498.4922
1950-08-14,-186.75781,853.0469,82.078125,-1832.5625,-1217.8203
1950-08-15,-162.46484,1398.0039,278.16797,-1260.1289,-751.14844
1950-08-16,-92.26172,1018.0469,120.66406,-869.35547,-459.82812
1950-08-17,-100.69922,850.4258,699.25,-1229.0117,-1107.1602
1950-08-18,-156.33203,-202.28516,653.6289,-2065.2578,-490.4961
1950-08-19,-166.39844,1761.3398,-761.91797,-1735.5781,989.0703
1950-08-20,-181.90625,2253.1133,-94.20703,-1484.2305,1233.25
1950-08-21,-169.01562,2455.879,712.5117,-772.6875,1123.0117
1950-08-22,-143.39062,337.5586,657.51953,-1528.832,1888.5156
1950-08-23,-143.125,275.17188,1323.207,-2619.371,1892.4648
1950-08-24,-143.58594,-1546.7188,2074.3867,-2802.4297,1640.625
1950-08-25,-167.01172,-4705.2188,2386.6484,-2297.1484,1771.6914
1950-08-26,-152.96484,-3831.3438,1923.3281,105.17969,1852.4766
1950-08-27,-99.4375,-3092.2188,1808.4453,1552.6953,1316.1719
1950-08-28,-114.88281,-4164.293,1806.3047,1466.9414,821.7969
1950-08-29,-129.86328,-3423.3828,1219.418,481.8164,407.45703
1950-08-30,-90.21875,-1222.1719,482.70703,-732.02344,187.24219
1950-08-31,-52.429688,1131.1875,55.98828,-1173.8867,144.58203
1950-09-01,-124.03516,1709.5703,-556.10547,-1218.2539,129.42578
1950-09-02,-191.5625,1039.8359,-1502.5938,-1998.875,-507.73438
1950-09-03,-107.16016,-1312.3594,-698.3594,-1870.2891,-1179.8359
1950-09-04,-47.839844,-2665.7344,172.78906,-674.40625,-1398.2617
1950-09-05,-50.30078,-2498.5,-702.125,-493.66797,-1350.9141
1950-09-06,-65.77344,-1417.5859,-373.53516,-9.7890625,-1393.9766
1950-09-07,-57.648438,-2497.0234,377.3164,-218.85156,-1409.7656
1950-09-08,-51.722656,-1497.1875,217.55469,-883.27344,-982.1914
1950-09-09,-51.73828,-1081.6602,328.96875,-1248.0352,-456.1797
1950-09-10,-86.19922,-2505.6016,592.1836,-1091.2969,-544.52344
1950-09-11,-74.70703,-557.15234,766.90625,-242.2539,-1126.0312
1950-09-12,-59.38672,-556.78516,397.01172,-171.23438,-934.71094
1950-09-13,-19.25,19.070312,187.89062,17.363281,-496.44922
1950-09-14,45.347656,-593.39844,21.773438,682.83203,-394.91797
1950-09-15,16.554688,-1451.0508,406.34375,634.72656,-1369.2578
1950-09-16,24.285156,-767.625,736.5703,283.28516,-1153.4492
1950-09-17,49.070312,-1219.2305,1006.9375,25.035156,-768.97266
1950-09-18,59.76953,-2058.1562,687.90234,-168.15625,-905.1914
1950-09-19,24.285156,-1476.6562,311.1328,-318.66016,-48.4375
1950-09-20,-15.277344,-708.3906,-42.128906,-800.52734,218.90625
1950-09-21,48.726562,-1778.4258,-112.44531,-1160.75,334.48828
1950-09-22,58.027344,98.08984,-1853.7383,-1857.1562,643.1719
1950-09-23,18.511719,-1271.2812,-965.8203,-2160.664,807.8594
1950-09-24,-13.5,-2854.9688,-399.25,-1291.3867,822.83594
1950-09-25,-120.89844,-3259.1367,-124.30078,495.55078,789.8594
1950-09-26,-163.75,-3004.1953,-471.44922,1392.4453,35.753906
1950-09-27,-160.79688,-3802.7305,-355.66797,991.09375,-334.72656
1950-09-28,-91.19922,-3346.504,284.90625,405.21484,292.77734
1950-09-29,-46.20703,-1637.1562,125.55078,463.33594,309.16406
1950-09-30,-77.32031,-1720.7852,-416.35156,456.83594,19.511719
1950-10-01,-54.75,-756.1719,-163.21094,-294.91797,-583.59375
1950-10-02,80.09766,1261.7188,144.90234,-357.1289,-1390.1562
1950-10-03,106.96094,239.5586,729.8594,-510.09375,-1363.2812
1950-10-04,43.351562,-573.1172,1235.8789,-1127.4219,-1291.0977
1950-10-05,-17.742188,-597.9961,1586.8242,-1661.1602,-1166.2695
1950-10-06,-58.48828,-1244.6055,1293.1133,-1134.4609,0.30078125
1950-10-07,-87.44922,-1950.5117,808.3789,-204.48438,192.14062
1950-10-08,-55.48047,-1504.1953,866.27344,651.08594,76.41016
1950-10-09,-73.234375,-868.8633,891.02344,1019.01953,-121.05078
1950-10-10,-146.375,-494.4336,686.5625,828.3594,-159.39844
1950-10-11,-180.55469,-777.5508,613.79297,521.9961,309.03516
1950-10-12,-135.11719,310.46484,310.51562,946.8281,-341.3164
1950-10-13,-119.30078,443.35156,615.95703,591.16406,-678.4336
1950-10-14,-158.16016,-824.84766,847.03125,475.8203,-545.7344
1950-10-15,-209.71875,-801.2969,496.34375,620.9531,-1157.3438
1950-10-16,-234.46094,-1177.3281,48.42578,187.29297,-840.22266
1950-10-17,-151.80078,-948.15234,-339.09375,126.734375,-136.76953
1950-10-18,-156.21875,-980.84375,100.94141,-58.527344,49.097656
1950-10-19,-223.25,-847.8594,184.63281,17.15625,-91.69531
1950-10-20,-249.77344,-120.296875,403.52734,984.3281,-535.6406
1950-10-21,-210.13672,346.72266,713.45703,1483.8438,-381.85938
1950-10-22,-162.02734,-186.51953,761.22656,1074.0977,-275.73047
1950-10-23,-149.1211,-1200.4844,-19.929688,777.0,-349.84766
1950-10-24,-172.04297,-2202.0938,-765.64844,149.41406,-306.1875
1950-10-25,-200.15625,-2154.9258,-681.5703,-11.546875,-170.04297
1950-10-26,-203.03125,-1738.3008,-821.54297,327.25,435.82422
1950-10-27,-130.04297,-1305.0781,-486.33203,229.95312,567.9414
1950-10-28,-83.1875,-626.6914,820.6211,270.48438,-619.6758
1950-10-29,-111.65234,-822.8086,163.44531,76.32031,-823.8633
1950-10-30,-191.46094,-1633.2617,-951.97656,-369.95703,-382.8203
1950-10-31,-203.71484,-1623.2969,-387.58203,-236.66016,1026.4141
1950-11-01,-116.21094,-383.10938,1191.8438,332.85156,1795.9023
1950-11-02,-86.421875,1613.3281,944.0664,44.58203,1692.418
1950-11-03,-103.64844,3069.3867,465.3086,-794.4297,1787.2773
1950-11-04,-114.38281,2151.0898,527.46484,-1309.7344,1395.7383
1950-11-05,-142.95312,1094.8945,864.46094,-923.8828,854.25
1950-11-06,-158.76172,139.67969,46.597656,-785.33203,206.88281
1950-11-07,-149.46094,1610.4141,-957.09766,-883.1953,-728.0625
1950-11-08,-192.86719,2013.3359,-846.9453,-832.72656,-426.65234
1950-11-09,-208.36328,1786.25,-851.71484,-220.8711,-228.34375
1950-11-10,-205.39844,1037.5117,39.265625,-370.89844,-397.5625
1950-11-11,-128.6211,-563.77734,339.2578,-666.66406,-862.7461
1950-11-12,-152.71094,-1113.1406,-239.80078,-624.16406,-1446.3711
1950-11-13,-187.45312,-138.3711,-18.910156,-680.91016,-1258.7617
1950-11-14,-193.82031,667.84375,638.4844,-105.41016,-805.96094
1950-11-15,-186.02734,1199.2969,468.26172,427.90625,-524.9297
1950-11-16,-159.64844,1529.5977,-618.64844,64.49219,-614.79297
1950-11-17,-201.65234,1907.918,119.84766,-1.96875,-443.40625
1950-11-18,-205.35547,1797.8594,1568.6758,407.0039,-48.82422
1950-11-19,-189.14062,1624.4766,1696.2383,436.16406,706.48047
1950-11-20,-143.90234,528.7461,1566.0938,280.27734,907.3008
1950-11-21,-236.72656,-181.44531,1308.3789,790.08594,772.54297
1950-11-22,-334.65625,-707.96484,1079.5703,852.1797,245.3125
1950-11-23,-328.2578,385.92578,657.58203,588.2969,563.39844
1950-11-24,-258.0547,1733.4883,256.7422,1257.4648,267.9297
1950-11-25,-208.45703,2080.0156,-106.98047,1490.1875,259.97266
1950-11-26,-244.77734,1042.6797,-162.58984,753.6914,535.5508
1950-11-27,-247.90234,440.52734,-651.53516,549.8672,-374.73047
1950-11-28,-172.15625,477.23438,-793.7539,697.4492,-1226.9492
1950-11-29,-193.88281,688.59375,146.57812,436.58203,-131.82812
1950-11-30,-166.39844,727.1992,363.7461,76.05859,373.85547
1950-12-01,-192.04688,671.84375,-303.97266,476.70312,409.0703
1950-12-02,-174.8164,674.46875,-632.41797,357.44922,724.0156
1950-12-03,-199.9336,1139.0117,-1042.6797,47.539062,514.3281
1950-12-04,-240.17969,1971.0352,-1417.1328,329.07812,882.5625
1950-12-05,-206.5664,2372.164,-1344.5586,630.2422,292.375
1950-12-06,-143.83984,1845.3711,-1539.8672,814.47656,-605.09375
1950-12-07,-139.67578,1193.3828,-1864.832,741.02734,-595.1172
1950-12-08,-185.76953,582.0469,-1767.7344,528.53906,-216.35156
1950-12-09,-142.19922,1083.9883,-902.26953,633.16406,-400.48828
1950-12-10,-134.8789,926.3672,-411.95703,480.08203,-666.84766
1950-12-11,-176.1875,1073.2383,-783.65625,344.20312,-631.10156
1950-12-12,-186.90234,221.39062,-1410.1172,215.6875,168.22656
1950-12-13,-212.33984,-225.625,-1144.2266,457.0078,1291.0547
1950-12-14,-180.57031,-546.8086,-672.8242,640.9453,1242.8867
1950-12-15,-149.64844,-102.28906,86.44141,696.60156,945.59375
1950-12-16,-226.70703,-198.60156,421.03125,819.77344,339.91016
1950-12-17,-222.71484,-142.90234,146.16406,794.76953,503.39844
1950-12-18,-200.98438,80.10156,254.54688,105.296875,571.2383
1950-12-19,-173.76562,152.1211,352.58594,-159.69922,499.0
1950-12-20,-87.51953,813.8594,482.39453,-79.90625,565.65625
1950-12-21,-95.921875,678.6289,746.0586,-302.85938,992.3164
1950-12-22,-155.54297,331.64062,879.0781,-438.26562,1422.6094
1950-12-23,-240.875,-37.085938,1118.6289,-482.07812,1143.8164
1950-12-24,-232.82031,-690.51953,1155.5742,-138.21484,1562.8164
1950-12-25,-126.78906,-1052.8711,914.0703,-45.453125,2109.4883
1950-12-26,-114.375,-1381.6484,1701.625,-385.36328,2232.0469
1950-12-27,-125.984375,261.73047,1978.9141,112.91016,3085.168
1950-12-28,-200.0625,778.5469,1181.4141,473.3789,3873.3281
1950-12-29,-234.3711,313.94922,726.95703,-67.78125,3901.754
1950-12-30,-151.36328,-103.328125,1130.9492,-404.8672,3335.586
1950-12-31,-132.01562,-923.7617,405.33984,-616.23047,2567.8633
1951-01-01,-129.74219,-1383.9805,98.375,-278.60156,1665.4219
1951-01-02,-185.7539,-1078.8555,-374.85938,-77.82031,753.0703
1951-01-03,-188.57031,-792.0547,-883.7383,-628.6367,24.597656
1951-01-04,-132.66797,-717.8203,-505.59766,-843.6367,431.98047
1951-01-05,-140.15234,34.722656,-870.15625,-684.41406,654.33984
1951-01-06,-81.80859,125.61719,-1650.4609,-361.45312,523.5781
1951-01-07,-118.89844,-203.63672,-1265.875,132.3086,343.75
1951-01-08,-186.39453,2.140625,-913.28125,103.25781,946.34375
1951-01-09,-188.35547,230.0625,-833.7422,-73.25391,976.1914
1951-01-10,-159.67188,70.16797,-1293.9531,-59.277344,810.8906
1951-01-11,-148.88281,403.28906,-2359.7383,-77.71484,974.41797
1951-01-12,-87.91016,564.95703,-2066.8945,-409.46484,1178.418
1951-01-13,-96.296875,585.4219,-1595.0156,-751.97656,543.66016
1951-01-14,-123.67969,328.16406,-1862.4492,-789.73047,-88.25
1951-01-15,-88.13672,840.8789,-3315.3672,-740.1211,304.73828
1951-01-16,-33.84375,1219.2695,-4330.922,-724.9961,-125.87109
1951-01-17,-32.55078,1623.4062,-3132.164,-787.0547,-908.35547
