,mslEurope_cluster1,mslEurope_cluster2,mslEurope_cluster3,mslEurope_cluster4,mslEurope_cluster5
1950-04-16,481.16406,177.39062,-934.8828,152.38281,44.367188
1950-04-17,552.89844,222.39062,-816.72656,-1093.3516,16.148438
1950-04-18,-455.72656,-128.38281,-459.32812,-1646.25,-61.90625
1950-04-19,-750.9453,-804.09375,-63.585938,-238.57031,263.85938
1950-04-20,-53.140625,-567.3047,-1261.8438,330.67188,372.21875
1950-04-21,481.10156,17.25,-1192.9922,551.0703,260.73438
1950-04-22,-411.35938,248.44531,-416.39062,819.53906,-7.0
1950-04-23,-1305.4453,-24.804688,-980.0781,38.40625,-616.7031
1950-04-24,-871.2578,-172.67969,-1173.9062,-966.5078,-1104.5469
1950-04-25,-1392.2344,-73.40625,-667.83594,-1256.7422,-734.33594
1950-04-26,-350.14062,-223.57812,-33.0,-1434.9375,-572.90625
1950-04-27,-673.9922,-275.3125,-724.5469,-25.125,-148.64844
1950-04-28,-1067.9609,5.3515625,-473.4375,-5.25,297.04688
1950-04-29,-822.09375,215.54688,-94.75,268.03125,125.44531
1950-04-30,-597.59375,367.2578,128.16406,322.17188,723.28125
1950-05-01,53.15625,504.22656,-546.58594,27.703125,1296.3828
1950-05-02,603.1875,316.33594,-788.8594,91.921875,1306.7422
1950-05-03,172.23438,43.75,245.875,636.91406,1295.0703
1950-05-04,860.3672,-145.23438,1215.6719,916.2422,1116.2812
1950-05-05,2182.3047,7.21875,1737.1094,967.6875,912.0078
1950-05-06,1887.2656,16.695312,2011.5312,562.22656,1012.21875
1950-05-07,1847.8828,-125.80469,1809.9688,619.71094,668.6406
1950-05-08,1694.2188,-269.1172,1700.7734,555.91406,688.7969
1950-05-09,1337.3672,-315.71094,2013.3203,535.96094,635.8906
1950-05-10,914.0156,-125.890625,2006.4922,974.28125,719.21875
1950-05-11,556.3047,-93.0625,1636.4844,970.25,295.8828
1950-05-12,372.6797,-376.2422,1140.7812,903.40625,-48.125
1950-05-13,-483.4453,-293.5078,1273.9453,704.2422,126.42969
1950-05-14,-1017.4922,-329.66406,1642.6875,610.83594,-104.96875
1950-05-15,-394.29688,-443.41406,1092.0625,755.2969,-837.5
1950-05-16,-715.7969,-242.89062,719.3672,410.9375,-574.3047
1950-05-17,-693.09375,-492.67188,366.83594,-452.2578,97.32031
1950-05-18,-165.01562,-412.72656,-69.28125,-996.35156,292.89062
1950-05-19,-50.289062,-149.39844,313.4297,-849.2344,261.4297
1950-05-20,473.52344,74.47656,1019.46875,-999.4375,516.9375
1950-05-21,836.0078,67.28125,1313.9453,-829.96875,515.34375
1950-05-22,765.2344,319.78125,1132.9375,-39.15625,236.17188
1950-05-23,-311.35938,105.07031,1078.8203,221.38281,-372.59375
1950-05-24,-341.9922,17.039062,926.71875,464.375,-402.1172
1950-05-25,-404.6328,43.070312,-14.875,79.546875,-353.9922
1950-05-26,-1382.8828,346.27344,-577.2969,-38.125,-165.73438
1950-05-27,-1073.7031,137.46094,-1004.5703,-497.70312,-889.0703
1950-05-28,-532.2422,253.5,-837.66406,127.55469,-161.47656
1950-05-29,-1108.0156,597.25,-1499.3438,780.0469,96.1875
1950-05-30,-2107.8203,434.46094,39.046875,852.78125,237.6875
1950-05-31,-1277.7812,199.46094,664.25,769.4297,-452.125
1950-06-01,387.1953,41.421875,-43.242188,642.4297,291.02344
1950-06-02,506.1797,-14.9765625,-63.476562,491.28906,1295.9688
1950-06-03,753.5703,50.554688,-184.67188,617.5625,1326.3203
1950-06-04,583.8906,284.0547,-248.92188,739.125,1365.3984
1950-06-05,591.4297,427.52344,80.734375,881.66406,1135.1562
1950-06-06,511.35938,372.6797,-45.148438,571.5078,291.48438
1950-06-07,-536.8281,247.52344,-1101.8984,412.34375,277.97656
1950-06-08,-1687.8047,-13.203125,-1152.0234,121.52344,153.30469
1950-06-09,-1931.4609,-250.89844,-504.40625,289.07812,-565.39844
1950-06-10,-1329.3594,-74.875,188.07031,510.47656,-692.4453
1950-06-11,-69.546875,31.179688,454.35938,718.7969,-726.77344
1950-06-12,305.78125,165.97656,16.125,372.42188,-665.14844
1950-06-13,-32.875,168.07812,-331.33594,-233.90625,-598.66406
1950-06-14,1.5546875,78.859375,-380.3672,-808.6328,-319.47656
1950-06-15,105.234375,151.01562,-736.53125,-572.3594,-230.55469
1950-06-16,-112.36719,203.53125,-912.9219,-525.46094,43.28125
1950-06-17,-235.69531,185.96875,-996.71875,-487.8672,-115.265625
1950-06-18,-12.859375,90.21094,-720.3672,-365.8203,-718.3281
1950-06-19,-57.242188,-15.7890625,-1053.8438,-101.640625,-806.1328
1950-06-20,-239.875,-73.3125,-1067.5234,-715.3828,-269.92188
1950-06-21,299.26562,-187.10156,-812.41406,-1625.1406,-26.140625
1950-06-22,139.90625,-256.1172,-555.90625,-804.7031,-225.09375
1950-06-23,-358.9297,-267.53906,-320.96094,-345.79688,-249.33594
1950-06-24,90.09375,-6.5859375,-315.25,36.570312,-275.48438
1950-06-25,146.03125,288.1875,56.375,170.72656,-320.65625
1950-06-26,-155.46875,286.82812,-798.9219,474.42188,62.054688
1950-06-27,-119.0,236.51562,-844.25,399.375,159.25
1950-06-28,-435.5078,474.77344,-647.6094,197.3125,-54.125
1950-06-29,-760.59375,472.92188,-776.5,-246.64844,-838.6953
1950-06-30,-965.3906,407.51562,-1132.6797,-9.15625,-674.2422
1950-07-01,-1642.1328,262.92188,-515.52344,440.1172,-345.9297
1950-07-02,-1518.1406,13.203125,177.51562,186.375,53.375
1950-07-03,-512.2422,68.328125,899.78125,-109.546875,109.640625
1950-07-04,268.60938,141.35156,1274.0703,13.0,133.69531
1950-07-05,684.5703,-63.023438,1383.875,-213.01562,195.27344
1950-07-06,808.58594,-96.703125,1175.2891,-485.58594,179.45312
1950-07-07,396.75,-15.59375,1009.47656,-29.203125,-473.57812
1950-07-08,-431.77344,88.921875,806.7422,235.71875,-245.4375
1950-07-09,-244.10156,126.35156,375.2422,-349.45312,137.10156
1950-07-10,-86.375,62.65625,-384.92188,-454.59375,-236.96875
1950-07-11,-17.367188,35.742188,-714.4219,-690.3828,-411.90625
1950-07-12,318.40625,-27.992188,-676.2578,-116.88281,-465.60156
1950-07-13,943.78906,-28.992188,127.078125,-481.67188,-619.5781
1950-07-14,1261.3438,-3.0390625,451.71094,-710.6406,-621.10156
1950-07-15,1260.5312,-80.390625,441.10938,-830.85156,-365.17188
1950-07-16,1081.3828,-320.42188,313.96875,-1518.2344,-75.28906
1950-07-17,664.96094,-215.8125,-244.03906,-724.8672,192.67188
1950-07-18,171.34375,85.3125,25.789062,114.078125,576.97656
1950-07-19,-370.02344,239.35156,411.7578,785.125,129.35156
1950-07-20,-61.960938,83.97656,105.61719,399.08594,-248.94531
1950-07-21,459.23438,-122.92969,-221.60156,-312.83594,-13.7890625
1950-07-22,482.8672,-37.484375,-807.5078,-884.78906,315.3125
1950-07-23,117.86719,32.710938,-602.4453,-1275.4062,345.25
1950-07-24,-447.60156,157.46094,-682.8906,-199.0625,-413.10938
1950-07-25,-696.0547,33.179688,-1557.4375,-62.632812,-716.7422
1950-07-26,-806.84375,-209.03125,-1388.1797,119.765625,-500.4922
1950-07-27,-784.08594,-267.0078,-59.210938,305.65625,-253.17188
1950-07-28,-490.60938,-117.96875,442.85156,187.0625,-263.3203
1950-07-29,-176.60156,-179.36719,676.8125,467.16406,-197.42188
1950-07-30,99.66406,-143.11719,510.8125,-126.46875,-345.58594
1950-07-31,212.41406,-80.21094,-181.76562,-641.90625,-437.46875
1950-08-01,288.9375,-79.546875,-348.3047,-710.6328,-324.3672
1950-08-02,226.22656,-247.82812,-164.375,-1034.0234,-344.5547
1950-08-03,150.28906,-257.9375,16.257812,-404.6797,-811.1328
1950-08-04,315.6875,-301.39062,116.25,215.26562,-1104.6484
1950-08-05,822.84375,-265.89844,-85.03906,60.609375,-1425.1875
1950-08-06,1129.4375,-215.20312,-469.625,-154.20312,-1356.9609
1950-08-07,1242.6875,-543.1172,-7.9375,-340.5547,-1048.7734
1950-08-08,1066.0078,-565.6797,-123.21094,-684.8672,-995.6797
1950-08-09,899.59375,-373.5,-811.8906,-966.72656,-253.89844
1950-08-10,952.78125,-182.39062,-1530.3828,91.390625,422.5
1950-08-11,835.7656,110.32031,-1498.2422,556.4219,478.85938
1950-08-12,464.85156,137.44531,-896.8906,337.0078,257.6797
1950-08-13,301.5703,69.359375,-422.9375,333.51562,-254.78906
1950-08-14,-123.72656,33.507812,-932.25,446.25,-427.60156
1950-08-15,-114.92969,66.4375,-1560.9766,-443.20312,-172.42969
1950-08-16,153.6875,-187.28906,-2145.6562,-1029.6562,-142.01562
1950-08-17,496.67188,-507.29688,-1071.6406,-1761.2734,-106.17969
1950-08-18,748.125,-485.71875,-132.16406,-1534.0859,85.640625
1950-08-19,703.7422,-154.96094,-465.35938,-542.85156,338.21875
1950-08-20,279.625,200.00781,443.21875,-437.1953,406.0078
1950-08-21,339.33594,335.25,662.6719,64.63281,235.28125
1950-08-22,811.5781,419.96875,1210.3281,-183.20312,458.3203
1950-08-23,1089.6953,347.32812,1017.375,-399.58594,399.9297
1950-08-24,1385.75,46.03125,-170.53125,-987.5703,158.125
1950-08-25,1215.875,26.6875,-419.75,-609.4844,763.58594
1950-08-26,862.0,-3.34375,-790.1328,-1235.6094,879.35156
1950-08-27,465.6172,-45.898438,-799.7031,-619.66406,738.6875
1950-08-28,-277.5703,-160.50781,-699.4219,-683.03906,638.3906
1950-08-29,-552.9453,65.47656,48.515625,-369.8047,128.21094
1950-08-30,-851.8125,324.6172,670.5703,20.992188,-394.97656
1950-08-31,-863.8203,9.25,879.4297,-168.03906,-379.6797
1950-09-01,-217.375,-303.14062,65.9375,-10.28125,-399.78125
1950-09-02,300.60938,-45.421875,-789.3203,-65.984375,-1010.02344
1950-09-03,342.39844,268.0703,-272.47656,-309.08594,-651.41406
1950-09-04,639.3125,123.796875,-1205.8047,-402.6328,-335.72656
1950-09-05,731.5,-180.5625,-2171.1094,-65.80469,-174.14844
1950-09-06,628.5781,-0.78125,-1918.4609,-974.4922,50.007812
1950-09-07,-120.33594,185.79688,-2595.1719,-872.85156,-51.296875
1950-09-08,-1640.6719,288.39062,-2581.0312,-183.52344,-708.1797
1950-09-09,-2093.539,274.29688,-1992.5703,-644.46094,-799.0469
1950-09-10,-1388.75,338.03906,-1286.0469,-242.80469,-666.4922
1950-09-11,-1067.6953,268.14062,-714.8672,-621.0703,-378.32812
1950-09-12,-1247.8984,191.625,-689.3125,59.53125,-773.84375
1950-09-13,-1366.1094,91.94531,-1230.1406,-573.3594,-782.6328
1950-09-14,-710.40625,-96.28906,-2813.1406,-1145.0156,-229.17969
1950-09-15,-925.89844,-135.92188,-3477.7969,-1361.4062,296.34375
1950-09-16,-1057.7812,56.773438,-1710.0156,-958.60156,39.671875
1950-09-17,-1083.6172,-18.164062,-1389.5625,-1532.7344,205.6875
1950-09-18,-218.99219,62.460938,-1595.8906,-391.375,-237.125
1950-09-19,-842.60156,64.671875,-1189.1484,-490.02344,-830.2969
1950-09-20,-1609.4062,-153.92188,-1157.7812,-950.8828,-440.51562
1950-09-21,-1509.1484,-330.14062,-895.1094,-542.9922,-435.8203
1950-09-22,-645.3281,-34.5,-489.79688,306.32812,-758.5
1950-09-23,-440.27344,448.28906,242.24219,808.6797,-495.96094
1950-09-24,-614.125,609.7344,700.03125,-590.96875,-587.28125
1950-09-25,-305.51562,250.14062,998.6094,-1615.8359,-194.42188
1950-09-26,5.0,-139.22656,680.83594,-29.328125,179.57031
1950-09-27,-1465.5781,20.828125,-1883.9688,676.9531,-458.08594
1950-09-28,-2541.539,198.99219,-2738.4453,25.398438,-472.375
1950-09-29,-3039.789,26.40625,-1502.0625,-32.992188,-807.6172
1950-09-30,-1834.6562,-14.328125,-296.5,-1182.1016,-64.00781
1950-10-01,-139.86719,448.07812,-860.3281,-1468.9062,442.89062
1950-10-02,-1140.125,581.4453,-2256.9219,-941.4922,-338.34375
1950-10-03,-1217.5312,594.3672,-1033.4531,472.45312,-184.09375
1950-10-04,-827.8125,449.35938,-32.03125,160.08594,35.234375
1950-10-05,600.9453,321.71875,-1985.2656,-100.86719,-231.80469
1950-10-06,367.8047,209.82031,-1625.3672,-55.414062,880.15625
