,tpEurope_cluster1,tpEurope_cluster2,tpEurope_cluster3,tpEurope_cluster4,tpEurope_cluster5
1950-07-16,-8.1757236e-05,-1.8950457e-05,-1.2098381e-05,-1.2450407e-09,-7.143488e-05
1950-07-17,-7.879978e-05,-1.859172e-05,-1.2074106e-05,-1.434393e-09,8.215456e-05
1950-07-18,-4.623024e-05,-1.7564427e-05,4.011597e-05,-1.4748672e-09,-5.282543e-05
1950-07-19,-6.0381375e-05,-1.7669141e-05,-1.2212326e-05,-1.4128626e-09,-5.9926882e-05
1950-07-20,-8.010632e-05,-1.6639258e-05,2.1425432e-05,-1.4561741e-09,-5.2984447e-05
1950-07-21,-8.226552e-05,-1.6443677e-05,-1.2746123e-05,-8.81621e-09,3.845313e-05
1950-07-22,-1.9631647e-05,-1.640729e-05,-4.380545e-06,-9.096442e-09,4.6279536e-05
1950-07-23,0.00014820434,-1.6482227e-05,-1.3409759e-05,-9.377758e-09,0.00024707062
1950-07-24,9.042108e-05,-1.6665388e-05,-1.3418497e-05,-9.419233e-09,-1.02605045e-05
1950-07-25,-2.0251551e-05,-1.4746446e-05,-1.3722491e-05,-9.6902015e-09,0.00031006607
1950-07-26,-8.423876e-05,-1.43852185e-05,-1.3486365e-05,-9.775406e-09,0.00015062174
1950-07-27,-7.644614e-05,-1.5652458e-05,-1.3521327e-05,-1.0180481e-08,-7.46061e-05
1950-07-28,-2.6285044e-05,-1.5674384e-05,-1.3496296e-05,-1.0491424e-08,-7.33184e-05
1950-07-29,0.000108341745,-1.4936928e-05,-1.1917027e-05,-1.0763728e-08,-7.68518e-05
1950-07-30,-7.297873e-06,-1.4516561e-05,-1.3332798e-05,-1.0881645e-08,-7.7827535e-05
1950-07-31,0.00013786528,-1.4774533e-05,-1.2626629e-05,2.7756226e-08,0.0002378691
1950-08-01,-6.631378e-05,-1.516469e-05,-1.264304e-05,1.0503463e-07,9.510535e-05
1950-08-02,-6.498688e-05,-1.542894e-05,-1.2927354e-05,-1.1424749e-08,-5.4659125e-05
1950-08-03,3.8104066e-05,-1.560016e-05,-1.2892183e-05,-1.165591e-08,8.359644e-05
1950-08-04,6.5486944e-05,-1.5211032e-05,-1.3412057e-05,-1.17311005e-08,-7.071886e-05
1950-08-05,-8.016694e-05,-1.5651747e-05,-1.3438206e-05,-1.17633965e-08,0.00038883183
1950-08-06,-8.0173304e-05,-1.1282327e-05,-1.33626845e-05,-1.2262522e-08,-1.0158161e-05
1950-08-07,-3.3433855e-05,-1.5117219e-05,-1.3918705e-05,-1.2433932e-08,-6.1405815e-05
1950-08-08,-7.610216e-05,-1.5574824e-05,7.690269e-06,-1.2514296e-08,-6.915601e-05
1950-08-09,-7.775708e-05,-1.6241087e-05,-8.293401e-06,2.6269031e-08,0.0002694837
1950-08-10,-7.834957e-05,-5.306094e-06,5.281563e-07,-1.28615385e-08,0.00019004228
1950-08-11,-8.01278e-05,-1.6702978e-05,-1.0340073e-05,-1.3235069e-08,9.676071e-05
1950-08-12,-7.2381255e-05,-1.746715e-05,4.197201e-05,-1.36977265e-08,-2.728323e-05
1950-08-13,-8.163673e-05,-1.6940072e-05,-1.0209369e-06,-1.3654832e-08,1.5455102e-05
1950-08-14,-7.9558966e-05,-1.7257122e-05,-9.918547e-06,-1.3795281e-08,0.00027529377
1950-08-15,-8.196224e-05,-1.8130184e-05,-1.5297823e-05,-1.39326435e-08,7.504346e-05
1950-08-16,-8.339928e-05,-7.30342e-06,3.6577992e-05,-1.4156879e-08,0.00016773642
1950-08-17,-8.47041e-05,-1.5211923e-05,-1.2187969e-05,-1.446757e-08,0.00010063187
1950-08-18,-2.5183552e-05,-1.91147e-05,-1.36249855e-05,-1.46055985e-08,9.592164e-06
1950-08-19,0.00010695533,-1.8563434e-05,-1.839994e-05,-1.4865468e-08,-1.5793841e-05
1950-08-20,-8.371803e-05,-1.4849561e-05,-1.878235e-05,-7.633364e-09,-7.587095e-05
1950-08-21,-8.628908e-05,0.000113357644,-1.8930996e-05,3.7584013e-07,0.0003321548
1950-08-22,-8.795917e-05,-1.8934124e-05,-1.9507124e-05,-1.4950672e-08,-8.8988694e-05
1950-08-23,-5.3978187e-05,-1.8825865e-05,-1.4832196e-05,-1.4996404e-08,7.953717e-05
1950-08-24,-8.56628e-05,-1.9711828e-05,-2.0142925e-05,1.9759371e-08,0.0005485956
1950-08-25,0.000367957,-2.044755e-05,-2.0193327e-05,1.3598283e-07,4.534251e-05
1950-08-26,-8.25888e-05,-1.640318e-05,-1.9730294e-05,-1.9020284e-08,6.0511687e-05
1950-08-27,-2.5311841e-05,-2.107603e-05,-9.7995735e-06,-1.9146547e-08,0.00016217404
1950-08-28,-8.706236e-05,-1.8203964e-05,-2.1017742e-05,9.0209994e-08,-7.813121e-05
1950-08-29,-7.680872e-05,-2.1323549e-05,2.9992349e-05,8.98272e-08,-4.614164e-05
1950-08-30,3.212643e-05,-2.0728039e-05,-2.45557e-05,1.2827164e-07,-7.729729e-05
1950-08-31,-6.588495e-05,-2.1221258e-05,-2.6406022e-05,7.489036e-07,-8.908405e-05
1950-09-01,5.4293232e-05,-2.4253395e-05,-4.8973197e-06,-3.4917193e-08,4.171335e-05
1950-09-02,5.1834817e-05,-2.6575832e-05,6.7814246e-05,1.5905293e-07,0.00022351358
1950-09-03,-7.7217825e-05,-2.7259855e-05,-2.3982442e-05,8.555497e-07,-6.155229e-05
1950-09-04,-8.8424844e-05,-2.7554921e-05,-3.037793e-05,-3.7046046e-08,0.00019715159
1950-09-05,-7.6347744e-05,-2.8132328e-05,-3.10931e-05,-6.7481025e-08,-7.8389756e-05
1950-09-06,0.00013919732,-2.9671699e-05,-2.5720576e-05,-6.866746e-08,-2.8598151e-06
1950-09-07,0.00027404143,-3.1091684e-05,-3.2617743e-05,-6.8719785e-08,0.0005001923
1950-09-08,-4.7562407e-05,-3.158831e-05,-3.3201966e-05,-7.010383e-08,-7.702707e-06
1950-09-09,-5.9863305e-06,-3.283678e-05,-3.529419e-05,-7.5037676e-08,-6.414601e-05
1950-09-10,-7.874492e-05,-3.4824472e-05,-3.601342e-05,-7.576421e-08,-8.640028e-05
1950-09-11,-5.5769407e-05,-3.4809997e-05,-3.712458e-05,-7.551878e-08,-0.00011758045
1950-09-12,0.0001869819,-3.581856e-05,-3.387435e-05,4.001855e-08,9.7399636e-05
1950-09-13,-6.527145e-05,-3.6780813e-05,-3.813681e-05,-1.2653948e-07,-4.8059963e-05
1950-09-14,-7.869073e-05,-2.4759021e-05,7.2233895e-05,-1.3005472e-07,0.00036693417
1950-09-15,-8.010618e-05,-2.1337435e-05,-2.9560048e-05,-1.298813e-07,5.428146e-05
1950-09-16,2.7486632e-05,-4.041528e-05,-2.9627256e-05,-1.329969e-07,-7.5165866e-05
1950-09-17,-6.462648e-05,-1.9252655e-05,-4.2540123e-05,-1.352259e-07,0.00061388675
1950-09-18,-4.119995e-05,-4.2482436e-05,-4.2650183e-05,-1.3562973e-07,-2.499151e-05
1950-09-19,-4.723516e-05,-4.5348213e-05,-4.4189124e-05,-1.3570218e-07,-7.3064264e-05
1950-09-20,-3.0838208e-05,2.2411397e-05,-1.4001289e-05,-1.8825098e-07,0.00020214217
1950-09-21,1.06570005e-05,-4.6469333e-05,-4.772929e-05,-1.0914555e-07,-7.801155e-05
1950-09-22,-8.746123e-06,-4.6331297e-05,-4.909289e-05,-1.8857803e-07,-0.00012165712
1950-09-23,-6.014567e-05,-4.588887e-05,-5.0348724e-05,-3.305641e-08,-0.00012519902
1950-09-24,-1.9590858e-05,-4.732364e-05,-5.0552862e-05,-2.0316115e-07,1.5409023e-07
1950-09-25,7.7746896e-05,-4.8007154e-05,-5.20404e-05,2.699983e-07,-0.00012356364
1950-09-26,0.00013569999,-4.8709862e-05,0.00010225787,2.2635112e-07,-0.00011954185
1950-09-27,-1.0015297e-05,-4.9867085e-05,0.0001174197,-2.4802418e-07,0.00024086893
1950-09-28,0.0002625266,-5.283039e-05,-3.9870683e-06,-2.598821e-07,-1.0501768e-05
