,sicArtic_cluster1,sicArtic_cluster2,sicArtic_cluster3,sicArtic_cluster4,sicArtic_cluster5
1950-06-14,0.042651117,0.14182448,0.10024613,0.04772663,0.19033557
1950-06-15,0.042750597,0.14088342,0.10243255,0.050957143,0.19444257
1950-06-16,0.04316926,0.139975,0.10365182,0.055640936,0.19837081
1950-06-17,0.043616176,0.1290649,0.10305762,0.06172198,0.20100659
1950-06-18,0.044403493,0.12818779,0.10243803,0.06796557,0.2034741
1950-06-19,0.045212448,0.12723154,0.10160375,0.07432139,0.20563054
1950-06-20,0.046311736,0.12632287,0.1011883,0.08057511,0.20787543
1950-06-21,0.047338545,0.12544176,0.10118735,0.086692154,0.21035421
1950-06-22,0.048469365,0.12452987,0.10140991,0.09235072,0.212933
1950-06-23,0.049996912,0.12371396,0.10165781,0.09805739,0.21503502
1950-06-24,0.051946163,0.12283222,0.10217202,0.10336232,0.21668404
1950-06-25,0.054009616,0.12183371,0.10319632,0.107932866,0.2180329
1950-06-26,0.055982232,0.12083138,0.10459,0.11131555,0.2191909
1950-06-27,0.0581972,0.11994074,0.10646999,0.11515063,0.22044444
1950-06-28,0.0607152,0.11909325,0.10852325,0.11883849,0.22169524
1950-06-29,0.063676775,0.11838329,0.110764205,0.12206054,0.2227022
1950-06-30,0.06650883,0.11781223,0.11269438,0.12559491,0.2235021
1950-07-01,0.06914127,0.1172278,0.114283085,0.12936491,0.22408646
1950-07-02,0.071872115,0.11670073,0.11592674,0.13260037,0.22429097
1950-07-03,0.0748387,0.11617831,0.11742818,0.13563341,0.22391039
1950-07-04,0.07774168,0.11551059,0.11930752,0.13844472,0.22344345
1950-07-05,0.080506444,0.11497607,0.1211583,0.141249,0.2223416
1950-07-06,0.0831961,0.11433731,0.123303354,0.1436001,0.22113729
1950-07-07,0.08589083,0.11362799,0.12619293,0.1458599,0.2195952
1950-07-08,0.088584065,0.11301867,0.12921864,0.14766371,0.21784699
1950-07-09,0.09122372,0.11209209,0.13199258,0.14870197,0.21573561
1950-07-10,0.09347296,0.11122071,0.13488114,0.15024543,0.21341687
1950-07-11,0.09551066,0.11044012,0.13782954,0.15205783,0.21071732
1950-07-12,0.09713727,0.109569594,0.14047343,0.1538071,0.20754337
1950-07-13,0.09894091,0.10863946,0.14295185,0.15536326,0.20393157
1950-07-14,0.1008116,0.107776076,0.14568776,0.15689999,0.19979972
1950-07-15,0.10180265,0.10700343,0.14850545,0.15808791,0.19549721
1950-07-16,0.102300644,0.106310874,0.1513431,0.15931582,0.19137836
1950-07-17,0.10252607,0.10592695,0.15595412,0.16117924,0.18825746
1950-07-18,0.10217041,0.09859015,0.16209912,0.1622678,0.18694729
1950-07-19,0.101647615,0.09134157,0.16862535,0.16344029,0.18604755
1950-07-20,0.10075581,0.08404089,0.17524445,0.16445845,0.18514824
1950-07-21,0.09990269,0.07667591,0.1817646,0.16522366,0.18379623
1950-07-22,0.098770976,0.0636453,0.1880194,0.16621983,0.1826033
1950-07-23,0.09730697,-0.005511545,0.19463241,0.16768783,0.1815061
1950-07-24,0.09522027,-0.00533875,0.20050728,0.16995591,0.18062663
1950-07-25,0.09289026,-0.005234983,0.20653164,0.17208403,0.18008947
1950-07-26,0.09044337,-0.005067659,0.21206129,0.17417854,0.17968792
1950-07-27,0.08794695,-0.004912558,0.21707124,0.17634654,0.17935467
1950-07-28,0.08513892,-0.004784567,0.22239578,0.17858255,0.1787765
1950-07-29,0.08203232,-0.004693562,0.22740817,0.18093002,0.1780315
1950-07-30,0.07925379,-0.004703352,0.23246324,0.18338007,0.17758894
1950-07-31,0.07700461,-0.0046905815,0.23798192,0.18475288,0.17705059
1950-08-01,0.07484859,-0.004587,0.24323529,0.18429029,0.17647642
1950-08-02,0.07253826,-0.0044715228,0.2487933,0.1833924,0.17620361
1950-08-03,0.07044852,-0.004251819,0.25423002,0.18302119,0.17595744
1950-08-04,0.06847882,-0.004131578,0.2599615,0.18240279,0.17549318
1950-08-05,0.06671798,-0.0040068114,0.26557094,0.18211836,0.17490518
1950-08-06,0.06510538,-0.003906361,0.27084684,0.1818068,0.17441618
1950-08-07,0.06343621,-0.0038935079,0.27596474,0.18156719,0.17400336
1950-08-08,0.061627746,-0.0036180168,0.28092062,0.18153554,0.17370063
1950-08-09,0.060191512,-0.003482426,0.2849965,0.18103224,0.17355072
1950-08-10,0.059005916,-0.0033529338,0.28871727,0.180282,0.17328525
1950-08-11,0.05813998,-0.0032094906,0.29121226,0.1797055,0.1730119
1950-08-12,0.05720985,-0.0029317487,0.29368877,0.1789633,0.17241687
1950-08-13,0.056089997,-0.002734215,0.2960822,0.17850584,0.17166275
1950-08-14,0.055451572,-0.002542986,0.2982946,0.17808324,0.17104983
1950-08-15,0.054840386,-0.002373789,0.30081755,0.17686337,0.17047328
1950-08-16,0.054474175,-0.0022907804,0.30340934,0.17590076,0.16995555
1950-08-17,0.054387867,-0.0021204732,0.30717778,0.17825288,0.16750443
1950-08-18,0.054383934,-0.0020085291,0.30922693,0.18227333,0.16519988
1950-08-19,0.05451435,-0.001897586,0.31095707,0.18640327,0.1632545
1950-08-20,0.054667592,-0.001776995,0.31221968,0.19065505,0.16189253
1950-08-21,0.05486518,-0.001634956,0.3135214,0.1951012,0.16011435
1950-08-22,0.055117548,-0.0014723043,0.31142777,0.19910258,0.15885812
1950-08-23,0.05539292,-0.0012829732,0.30847967,0.20218748,0.15733737
1950-08-24,0.05544722,-0.0010549149,0.30472672,0.20486623,0.15521675
1950-08-25,0.05561018,-0.0008701164,0.3013609,0.20780253,0.15268558
1950-08-26,0.05563718,-0.00081978197,0.29784924,0.21043295,0.15005332
1950-08-27,0.055963635,-0.0007029102,0.29397953,0.21261251,0.14718795
1950-08-28,0.056462765,-0.00060457125,0.28966504,0.21473634,0.14409912
1950-08-29,0.056651592,-0.0005138648,0.28601754,0.21601695,0.14098126
1950-08-30,0.056520164,-0.00043730755,0.2824087,0.21698338,0.13809854
1950-08-31,0.05640471,-0.00043730755,0.27902716,0.2176854,0.13531548
1950-09-01,0.056227148,-0.00043730755,0.2760718,0.21844083,0.13255739
1950-09-02,0.0557912,-0.00044491814,0.27329427,0.21860385,0.12966019
1950-09-03,0.055492878,-0.0005365872,0.26939052,0.21871585,0.12690043
1950-09-04,0.055187404,-0.00062406395,0.26495868,0.21864635,0.12408149
1950-09-05,0.054786146,-0.00061595015,0.26000428,0.21863925,0.12146109
1950-09-06,0.054421544,-0.00052669854,0.25489032,0.21817744,0.118572235
1950-09-07,0.054196477,-0.0005197853,0.24959767,0.21747082,0.11543101
1950-09-08,0.053767383,-0.0004361233,0.24350971,0.21621704,0.11193991
1950-09-09,0.05309558,-0.00034528284,0.2370683,0.21473187,0.10860878
1950-09-10,0.052286863,-0.00026758254,0.23063475,0.21278954,0.10512346
1950-09-11,0.051340878,-0.00026758254,0.22421706,0.20993376,0.101705074
1950-09-12,0.05051452,-0.00026758254,0.21724164,0.20484996,0.097466886
1950-09-13,0.049440563,-0.00026758254,0.20966113,0.19928277,0.09268075
1950-09-14,0.04841101,-0.00026758254,0.20172775,0.19362634,0.088083446
1950-09-15,0.047276676,-0.00026758254,0.19402564,0.18775302,0.08366907
1950-09-16,0.046222925,-0.00026758254,0.19277644,0.18206596,0.0809741
1950-09-17,0.0453943,-0.00026758254,0.20097011,0.17907834,0.079129994
1950-09-18,0.044424653,-0.00026758254,0.20877999,0.17594618,0.07711363
1950-09-19,0.04337704,-0.00026758254,0.21645415,0.17277986,0.074977756
1950-09-20,0.042336702,-0.00026758254,0.22330159,0.1693927,0.07279527
1950-09-21,0.04129678,-0.00026758254,0.22958583,0.1658628,0.06950992
1950-09-22,0.040531874,-0.00026758254,0.23568928,0.16245216,0.06614804
1950-09-23,0.040016353,-0.00026758254,0.24174005,0.15923113,0.06335002
1950-09-24,0.03947717,-0.00026084427,0.24778831,0.15532845,0.06089914
1950-09-25,0.038850904,-0.00018672364,0.25427395,0.15038317,0.058373213
1950-09-26,0.038169086,-0.00018672364,0.26068515,0.14583516,0.055820227
1950-09-27,0.037540495,-0.00018672364,0.26704723,0.14108384,0.053638756
1950-09-28,0.03707117,-0.00019337983,0.27223015,0.13694692,0.05136776
1950-09-29,0.036590815,-0.00027338002,0.27642304,0.13285887,0.048931956
1950-09-30,0.036009133,-0.00034798193,0.2800082,0.12907052,0.046617627
1950-10-01,0.035436153,-0.00034798193,0.28161424,0.12551063,0.044263065
1950-10-02,0.035028756,-0.0003403713,0.27939177,0.12195492,0.0419724
1950-10-03,0.03455001,-0.00024870233,0.27510542,0.116022825,0.03989172
1950-10-04,0.034071267,-0.00016122554,0.2715516,0.10963285,0.03788644
1950-10-05,0.03355509,-0.00016122554,0.26801378,0.10308802,0.03593117
1950-10-06,0.033195436,-0.00016122554,0.26427054,0.09698886,0.034199
1950-10-07,0.032879114,-0.00016122554,0.2603464,0.09128815,0.03281665
1950-10-08,0.03266567,-0.00016122554,0.25681925,0.08613658,0.031651914
1950-10-09,0.032435596,-0.00016122554,0.25321996,0.08101314,0.030497253
1950-10-10,0.032120883,-0.00016122554,0.24957931,0.07607663,0.029677212
1950-10-11,0.031742156,-0.00016122554,0.24550265,0.07165146,0.029023767
1950-10-12,0.03134775,-0.00016122554,0.24137074,0.0676595,0.028459072
